,Matches,AverageGoals,Player
182,55.0,3.0,Bad Player
183,63.0,9.1,Bad Player
184,57.0,9.6,Bad Player
185,53.0,1.0,Bad Player
186,57.0,0.9,Bad Player
187,69.0,4.9,Bad Player
188,51.0,7.3,Good Player
189,62.0,10.7,Bad Player
190,50.0,11.5,Good Player
191,61.0,3.5,Bad Player
192,54.0,13.2,Good Player
193,55.0,8.5,Good Player
194,60.0,9.4,Bad Player
195,52.0,9.6,Bad Player
196,64.0,8.2,Bad Player
197,56.0,3.5,Bad Player
198,58.0,10.3,Bad Player
199,64.0,5.4,Bad Player
200,52.0,8.4,Good Player
201,53.0,12.6,Good Player
202,59.0,9.8,Bad Player
203,62.0,3.8,Bad Player
204,59.0,5.6,Good Player
205,56.0,14.3,Good Player
206,62.0,10.0,Bad Player
207,53.0,12.7,Good Player
208,60.0,2.9,Bad Player
209,64.0,2.9,Bad Player
210,66.0,7.0,Bad Player
211,58.0,6.8,Good Player
212,55.0,7.5,Good Player
213,51.0,12.2,Good Player
214,60.0,14.3,Good Player
215,60.0,9.2,Bad Player
216,53.0,11.6,Good Player
217,61.0,6.6,Good Player
218,47.0,8.6,Good Player
219,58.0,3.7,Bad Player
220,50.0,7.7,Good Player
221,60.0,5.6,Good Player
222,61.0,13.0,Good Player
223,54.0,9.0,Good Player
224,58.0,8.1,Bad Player
225,56.0,5.9,Good Player
226,57.0,13.7,Good Player
227,56.0,9.8,Bad Player
228,58.0,0.8,Bad Player
229,65.0,4.6,Bad Player
230,57.0,14.8,Good Player
231,55.0,9.3,Bad Player
232,62.0,16.2,Good Player
233,47.0,10.7,Good Player
234,63.0,9.5,Bad Player
235,58.0,7.6,Good Player
236,58.0,11.4,Bad Player
237,67.0,9.0,Bad Player
238,47.0,5.5,Good Player
239,71.0,4.0,Bad Player
240,63.0,6.0,Bad Player
241,49.0,9.1,Good Player
242,51.0,10.0,Good Player
243,63.0,6.3,Bad Player
244,49.0,7.5,Good Player
245,65.0,7.8,Bad Player
246,60.0,7.0,Good Player
247,55.0,0.7,Bad Player
248,60.0,2.9,Bad Player
249,62.0,2.6,Bad Player
250,68.0,6.2,Bad Player
251,60.0,9.9,Bad Player
252,55.0,11.5,Bad Player
253,53.0,10.7,Good Player
254,51.0,10.9,Good Player
255,51.0,11.3,Good Player
256,48.0,9.8,Good Player
257,63.0,8.6,Bad Player
258,68.0,7.1,Bad Player
259,53.0,13.7,Good Player
260,51.0,9.2,Good Player
261,59.0,8.4,Bad Player
262,66.0,8.7,Bad Player
263,45.0,8.6,Good Player
264,58.0,1.7,Bad Player
265,56.0,9.7,Bad Player
266,65.0,2.1,Bad Player
267,62.0,9.8,Bad Player
268,53.0,13.6,Good Player
269,58.0,4.9,Good Player
270,59.0,2.0,Bad Player
271,59.0,14.5,Good Player
272,49.0,10.5,Good Player
273,60.0,12.6,Good Player
274,51.0,10.4,Good Player
275,64.0,10.7,Bad Player
276,66.0,4.2,Bad Player
277,59.0,7.0,Good Player
278,54.0,10.6,Good Player
279,53.0,6.8,Good Player
280,67.0,7.8,Bad Player
281,55.0,6.3,Good Player
282,51.0,7.0,Good Player
283,53.0,10.8,Good Player
284,58.0,4.3,Bad Player
285,55.0,6.8,Good Player
286,60.0,5.2,Good Player
287,56.0,8.9,Good Player
288,58.0,13.3,Good Player
289,60.0,4.1,Good Player
290,53.0,1.8,Bad Player
291,57.0,15.1,Good Player
292,70.0,6.5,Bad Player
293,49.0,11.6,Good Player
294,59.0,9.5,Bad Player
295,57.0,7.1,Good Player
296,68.0,5.7,Bad Player
297,56.0,12.2,Good Player
298,58.0,7.0,Good Player
299,61.0,8.7,Bad Player
300,64.0,4.1,Bad Player
301,63.0,9.2,Bad Player
302,53.0,7.9,Good Player
303,46.0,10.5,Good Player
304,59.0,9.4,Bad Player
305,67.0,7.8,Bad Player
306,61.0,9.9,Bad Player
307,56.0,4.8,Good Player
308,53.0,12.0,Good Player
309,64.0,5.8,Bad Player
310,63.0,6.9,Bad Player
311,56.0,6.3,Good Player
312,53.0,0.8,Bad Player
313,60.0,8.8,Bad Player
314,61.0,1.7,Bad Player
315,64.0,4.3,Bad Player
316,55.0,11.5,Good Player
317,57.0,15.3,Good Player
318,48.0,12.8,Good Player
319,46.0,10.7,Good Player
320,51.0,11.8,Good Player
321,57.0,10.2,Bad Player
322,62.0,6.0,Bad Player
323,54.0,11.7,Good Player
324,55.0,12.9,Good Player
325,50.0,4.7,Good Player
326,49.0,13.0,Good Player
327,52.0,8.5,Good Player
328,59.0,12.1,Bad Player
329,57.0,5.6,Good Player
330,57.0,3.2,Bad Player
331,54.0,10.4,Good Player
332,64.0,7.9,Bad Player
333,50.0,8.4,Good Player
334,54.0,6.0,Good Player
335,52.0,14.2,Good Player
336,65.0,4.4,Bad Player
337,55.0,6.7,Good Player
338,56.0,13.9,Good Player
339,58.0,7.1,Good Player
340,57.0,9.4,Bad Player
341,58.0,7.5,Good Player
342,54.0,9.8,Bad Player
343,64.0,2.0,Bad Player
344,65.0,6.2,Bad Player
345,59.0,10.0,Bad Player
346,47.0,7.4,Good Player
347,54.0,7.7,Good Player
348,66.0,7.5,Bad Player
349,61.0,5.9,Bad Player
350,53.0,14.8,Good Player
351,55.0,8.6,Bad Player
352,50.0,10.9,Good Player
353,52.0,9.7,Good Player
354,65.0,5.9,Good Player
355,57.0,6.5,Good Player
356,53.0,11.6,Good Player
357,56.0,14.1,Good Player
358,50.0,11.5,Good Player
359,66.0,3.5,Bad Player
360,60.0,6.6,Good Player
361,62.0,14.3,Good Player
362,49.0,12.3,Good Player
363,62.0,12.8,Good Player
364,57.0,2.1,Bad Player
365,55.0,12.2,Good Player
366,54.0,12.0,Good Player
367,65.0,13.3,Good Player
368,48.0,9.4,Good Player
369,53.0,5.5,Good Player
370,61.0,13.1,Good Player
371,51.0,6.8,Good Player
372,62.0,8.5,Bad Player
373,64.0,3.4,Bad Player
374,55.0,13.9,Good Player
375,59.0,6.7,Bad Player
376,60.0,4.1,Bad Player
377,57.0,5.4,Bad Player
378,47.0,10.3,Good Player
379,64.0,7.7,Bad Player
380,54.0,9.2,Good Player
381,59.0,13.4,Good Player
382,56.0,10.5,Bad Player
383,55.0,12.3,Good Player
384,62.0,2.7,Bad Player
385,55.0,14.7,Good Player
386,56.0,11.4,Good Player
387,44.0,5.2,Good Player
388,62.0,4.1,Bad Player
389,55.0,7.7,Good Player
390,53.0,8.4,Good Player
391,54.0,5.7,Good Player
392,56.0,6.1,Good Player
393,54.0,10.5,Bad Player
394,62.0,5.7,Bad Player
395,59.0,5.6,Good Player
396,57.0,3.7,Bad Player
397,65.0,2.9,Bad Player
398,55.0,7.3,Good Player
399,62.0,11.7,Good Player
400,44.0,11.4,Good Player
401,65.0,6.0,Bad Player
402,51.0,5.7,Good Player
403,51.0,11.2,Good Player
404,71.0,8.4,Bad Player
405,57.0,12.6,Good Player
406,63.0,8.3,Bad Player
407,46.0,11.2,Good Player
408,61.0,2.0,Bad Player
409,52.0,11.9,Good Player
410,55.0,8.1,Good Player
411,48.0,6.6,Good Player
412,67.0,1.4,Bad Player
413,66.0,7.2,Bad Player
414,58.0,9.5,Bad Player
415,68.0,6.5,Bad Player
416,54.0,3.5,Bad Player
417,52.0,10.5,Good Player
418,52.0,9.5,Good Player
419,62.0,3.4,Bad Player
420,56.0,10.1,Bad Player
421,56.0,16.9,Good Player
422,62.0,2.3,Bad Player
423,72.0,5.3,Bad Player
424,51.0,12.9,Good Player
425,60.0,7.7,Bad Player
426,55.0,10.6,Good Player
427,48.0,9.1,Good Player
428,68.0,8.4,Bad Player
429,58.0,8.8,Bad Player
430,59.0,3.2,Bad Player
431,59.0,8.9,Bad Player
432,56.0,6.1,Good Player
433,66.0,6.5,Bad Player
434,54.0,13.9,Good Player
435,51.0,12.4,Good Player
436,55.0,11.9,Bad Player
437,51.0,11.8,Good Player
438,50.0,9.2,Good Player
439,55.0,4.9,Good Player
440,59.0,9.9,Bad Player
441,59.0,6.5,Good Player
442,58.0,2.1,Bad Player
443,56.0,7.1,Good Player
444,46.0,7.2,Good Player
445,63.0,9.1,Bad Player
446,51.0,13.8,Good Player
447,62.0,10.1,Bad Player
448,48.0,10.0,Good Player
449,63.0,5.0,Bad Player
450,69.0,7.7,Bad Player
451,64.0,3.2,Bad Player
452,65.0,2.9,Bad Player
453,58.0,5.7,Good Player
454,51.0,9.0,Good Player
455,62.0,6.4,Bad Player
456,56.0,3.2,Bad Player
457,65.0,5.2,Bad Player
458,61.0,10.4,Bad Player
459,53.0,3.1,Bad Player
460,54.0,8.8,Good Player
461,59.0,8.1,Bad Player
462,67.0,9.4,Bad Player
463,53.0,5.8,Good Player
464,58.0,13.5,Good Player
465,66.0,6.6,Bad Player
466,52.0,12.2,Good Player
467,58.0,12.5,Good Player
468,54.0,14.4,Good Player
469,64.0,8.5,Bad Player
470,48.0,1.3,Bad Player
471,62.0,1.8,Bad Player
472,62.0,5.4,Bad Player
473,64.0,2.9,Bad Player
474,63.0,9.4,Bad Player
475,62.0,4.5,Bad Player
476,53.0,12.1,Good Player
477,60.0,14.1,Good Player
478,65.0,2.3,Bad Player
479,63.0,1.2,Bad Player
480,64.0,10.4,Bad Player
481,64.0,5.6,Bad Player
482,62.0,1.7,Bad Player
483,50.0,12.4,Good Player
484,62.0,6.8,Good Player
485,59.0,12.9,Good Player
486,61.0,1.3,Bad Player
487,62.0,13.5,Good Player
488,49.0,9.7,Good Player
489,59.0,13.8,Good Player
490,58.0,4.7,Good Player
491,55.0,7.4,Good Player
492,53.0,8.1,Good Player
493,60.0,10.0,Bad Player
494,59.0,9.4,Bad Player
495,50.0,10.0,Good Player
496,65.0,7.8,Bad Player
497,51.0,11.6,Good Player
498,61.0,7.8,Bad Player
499,66.0,7.8,Bad Player
500,68.0,5.1,Bad Player
501,63.0,5.9,Bad Player
502,71.0,3.8,Bad Player
503,54.0,7.0,Good Player
504,64.0,2.6,Bad Player
505,50.0,11.0,Good Player
506,50.0,9.1,Good Player
507,53.0,14.7,Good Player
508,62.0,5.2,Bad Player
509,47.0,9.5,Good Player
510,72.0,4.6,Bad Player
511,52.0,5.7,Good Player
512,64.0,7.0,Bad Player
513,59.0,6.7,Bad Player
514,70.0,5.5,Bad Player
515,53.0,6.2,Good Player
516,56.0,13.6,Good Player
517,50.0,10.6,Good Player
518,51.0,10.8,Good Player
519,60.0,2.8,Bad Player
520,48.0,14.8,Good Player
521,48.0,10.5,Good Player
522,61.0,2.2,Bad Player
523,56.0,1.6,Bad Player
524,50.0,9.7,Good Player
525,56.0,13.3,Good Player
526,55.0,0.1,Bad Player
527,58.0,10.1,Bad Player
528,53.0,7.6,Good Player
529,63.0,4.6,Bad Player
530,55.0,8.7,Bad Player
531,50.0,8.0,Good Player
532,62.0,3.6,Bad Player
533,65.0,12.0,Good Player
534,49.0,9.8,Good Player
535,62.0,3.1,Bad Player
536,63.0,9.1,Bad Player
537,64.0,1.8,Bad Player
538,48.0,7.2,Good Player
539,64.0,5.0,Bad Player
540,57.0,3.5,Bad Player
541,50.0,9.0,Good Player
542,55.0,8.3,Good Player
543,54.0,12.6,Good Player
544,50.0,9.3,Good Player
545,61.0,14.8,Good Player
546,64.0,11.2,Good Player
547,61.0,9.8,Bad Player
548,53.0,6.5,Good Player
549,68.0,3.2,Bad Player
550,65.0,6.8,Bad Player
551,60.0,4.2,Bad Player
552,69.0,3.6,Bad Player
553,51.0,13.6,Good Player
554,54.0,8.3,Good Player
555,49.0,12.5,Good Player
556,54.0,5.7,Good Player
557,66.0,9.0,Bad Player
558,67.0,1.5,Bad Player
559,54.0,11.5,Good Player
560,65.0,6.4,Bad Player
561,68.0,5.8,Bad Player
562,50.0,6.5,Good Player
563,53.0,11.9,Good Player
564,49.0,8.6,Good Player
565,62.0,8.4,Bad Player
566,68.0,4.4,Bad Player
567,56.0,0.2,Bad Player
568,55.0,10.8,Good Player
569,66.0,5.1,Bad Player
570,54.0,11.8,Good Player
571,63.0,3.4,Bad Player
572,57.0,11.4,Bad Player
573,61.0,8.8,Bad Player
574,57.0,12.3,Good Player
575,61.0,7.7,Bad Player
576,68.0,4.3,Bad Player
577,60.0,5.1,Bad Player
578,63.0,2.9,Bad Player
579,58.0,4.4,Good Player
580,59.0,7.3,Bad Player
581,62.0,6.2,Bad Player
582,61.0,5.7,Bad Player
583,67.0,9.3,Bad Player
584,64.0,5.2,Bad Player
585,49.0,11.2,Bad Player
586,69.0,5.3,Bad Player
587,58.0,9.9,Bad Player
588,54.0,5.2,Good Player
589,59.0,3.2,Bad Player
590,54.0,11.7,Good Player
591,58.0,4.1,Bad Player
592,63.0,9.6,Bad Player
593,59.0,6.5,Good Player
594,55.0,10.2,Bad Player
595,50.0,10.1,Good Player
596,53.0,6.5,Good Player
597,43.0,9.5,Good Player
598,66.0,5.6,Bad Player
599,56.0,10.0,Bad Player
600,54.0,13.1,Good Player
601,60.0,9.7,Bad Player
602,67.0,4.9,Bad Player
603,59.0,4.7,Bad Player
604,61.0,3.2,Bad Player
605,56.0,15.0,Good Player
606,52.0,14.2,Good Player
607,52.0,13.6,Good Player
608,54.0,16.3,Good Player
609,55.0,14.2,Good Player
610,59.0,7.7,Bad Player
611,58.0,7.4,Bad Player
612,58.0,9.0,Bad Player
613,52.0,7.4,Good Player
614,59.0,14.8,Good Player
615,53.0,10.7,Good Player
616,57.0,10.8,Bad Player
617,61.0,5.9,Bad Player
618,49.0,10.7,Good Player
619,57.0,1.6,Bad Player
620,56.0,1.8,Bad Player
621,53.0,12.8,Good Player
622,63.0,3.7,Bad Player
623,48.0,6.4,Good Player
624,59.0,6.4,Good Player
625,52.0,13.8,Good Player
626,57.0,8.6,Bad Player
627,56.0,14.3,Good Player
628,48.0,11.5,Good Player
629,65.0,6.1,Bad Player
630,52.0,8.4,Good Player
631,60.0,1.4,Bad Player
632,60.0,2.6,Bad Player
633,65.0,8.9,Bad Player
634,56.0,6.5,Good Player
635,65.0,9.7,Bad Player
636,62.0,8.7,Bad Player
637,52.0,10.1,Good Player
638,46.0,11.5,Good Player
639,59.0,9.4,Bad Player
640,56.0,14.0,Good Player
641,65.0,5.2,Bad Player
642,61.0,3.0,Bad Player
643,68.0,5.3,Bad Player
644,49.0,9.6,Good Player
645,52.0,10.1,Bad Player
646,58.0,12.7,Good Player
647,46.0,9.3,Good Player
648,59.0,6.7,Good Player
649,53.0,6.4,Good Player
650,60.0,5.2,Bad Player
651,58.0,13.0,Good Player
652,53.0,8.8,Good Player
653,55.0,13.3,Good Player
654,51.0,10.0,Good Player
655,61.0,6.2,Good Player
656,53.0,13.7,Good Player
657,63.0,7.8,Bad Player
658,55.0,12.6,Good Player
659,65.0,3.4,Bad Player
660,61.0,4.7,Good Player
661,63.0,5.4,Bad Player
662,57.0,10.2,Bad Player
663,54.0,2.2,Bad Player
664,60.0,10.6,Bad Player
665,49.0,9.6,Good Player
666,55.0,4.8,Good Player
667,65.0,4.3,Bad Player
668,53.0,10.3,Good Player
669,63.0,2.9,Bad Player
670,64.0,7.2,Bad Player
671,56.0,14.4,Good Player
672,50.0,13.8,Good Player
673,60.0,7.6,Bad Player
674,51.0,10.9,Good Player
675,62.0,9.8,Bad Player
676,58.0,6.8,Good Player
677,55.0,13.5,Good Player
678,52.0,1.9,Bad Player
679,57.0,0.3,Bad Player
680,64.0,5.8,Bad Player
681,60.0,8.0,Good Player
682,58.0,9.2,Bad Player
683,59.0,2.7,Bad Player
684,54.0,14.5,Good Player
685,56.0,4.1,Bad Player
686,57.0,5.9,Good Player
687,51.0,13.0,Good Player
688,56.0,12.3,Good Player
689,57.0,4.9,Good Player
690,53.0,3.2,Bad Player
691,62.0,9.4,Bad Player
692,53.0,10.9,Good Player
693,59.0,9.9,Bad Player
694,60.0,6.7,Good Player
695,66.0,4.8,Bad Player
696,51.0,5.8,Good Player
697,55.0,12.7,Good Player
698,59.0,7.0,Good Player
699,53.0,3.4,Bad Player
700,52.0,10.9,Good Player
701,63.0,9.6,Bad Player
702,55.0,4.6,Bad Player
