,Strength,Leadership,Team
83,16.52,35.71,TeamA
84,49.57,16.58,TeamA
85,23.91,49.54,TeamA
86,27.7,34.74,TeamA
87,40.5,29.32,TeamA
88,45.13,49.0,TeamA
89,3.26,38.34,TeamA
90,4.07,18.85,TeamA
91,46.45,8.71,TeamA
92,25.5,16.82,TeamA
93,4.37,46.22,TeamA
94,47.57,29.21,TeamA
95,10.62,46.08,TeamA
96,3.88,13.38,TeamA
97,26.33,5.13,TeamA
98,7.98,45.71,TeamA
99,18.37,34.8,TeamA
100,9.94,21.75,TeamA
101,42.54,13.53,TeamA
102,21.01,21.3,TeamA
103,8.55,19.24,TeamA
104,6.26,13.57,TeamA
105,25.14,13.04,TeamA
106,6.65,39.95,TeamA
107,36.56,13.2,TeamA
108,43.55,24.51,TeamA
109,35.05,31.17,TeamA
110,15.79,47.62,TeamA
111,29.58,31.65,TeamA
112,34.85,15.81,TeamA
113,17.27,19.83,TeamA
114,28.75,35.92,TeamA
115,14.47,6.95,TeamA
116,29.24,24.85,TeamA
117,22.77,32.56,TeamA
118,17.41,37.15,TeamA
119,30.71,46.17,TeamA
120,49.27,33.84,TeamA
121,20.26,17.75,TeamA
122,10.55,4.83,TeamA
123,15.91,41.05,TeamA
124,6.04,6.5,TeamA
125,37.88,40.09,TeamA
126,25.78,43.65,TeamA
127,8.49,43.15,TeamA
128,21.62,33.31,TeamA
129,4.54,14.99,TeamA
130,34.69,45.16,TeamA
131,31.79,4.44,TeamA
132,41.64,42.12,TeamA
133,28.59,10.99,TeamA
134,4.46,32.97,TeamA
135,42.58,43.75,TeamA
136,3.05,38.09,TeamA
137,25.96,6.27,TeamA
138,37.28,21.82,TeamA
139,28.69,2.41,TeamA
140,45.63,48.58,TeamA
141,47.09,10.37,TeamA
142,40.49,47.01,TeamA
143,46.95,35.62,TeamA
144,42.42,36.44,TeamA
145,45.46,34.19,TeamA
146,30.34,43.35,TeamA
147,14.5,12.65,TeamA
148,49.2,35.82,TeamA
149,4.35,36.11,TeamA
150,57.04,2.65,TeamB
151,70.66,47.98,TeamB
152,52.57,1.9,TeamB
153,61.68,15.83,TeamB
154,80.99,39.85,TeamB
155,96.06,26.85,TeamB
156,79.28,25.64,TeamB
157,69.52,8.82,TeamB
158,61.96,23.0,TeamB
159,52.78,31.53,TeamB
160,62.68,44.36,TeamB
161,71.3,34.95,TeamB
162,58.25,1.16,TeamB
163,78.01,14.81,TeamB
164,58.27,7.89,TeamB
165,62.26,31.71,TeamB
166,89.92,22.84,TeamB
167,52.08,34.46,TeamB
168,60.65,22.67,TeamB
169,65.75,45.94,TeamB
170,72.59,8.2,TeamB
171,54.67,15.72,TeamB
172,65.24,33.65,TeamB
173,74.48,3.98,TeamB
174,86.81,21.86,TeamB
175,76.06,20.48,TeamB
176,94.53,36.18,TeamB
177,83.12,4.55,TeamB
178,80.02,4.3,TeamB
179,67.66,9.25,TeamB
180,67.01,20.34,TeamB
181,66.45,31.46,TeamB
182,73.28,45.05,TeamB
183,90.91,17.86,TeamB
184,90.43,25.09,TeamB
185,91.24,34.71,TeamB
186,72.7,8.51,TeamB
187,95.63,40.38,TeamB
188,97.98,1.58,TeamB
189,89.89,10.1,TeamB
190,53.38,16.49,TeamB
191,82.1,33.54,TeamB
192,80.46,15.45,TeamB
193,95.03,15.62,TeamB
194,80.28,40.33,TeamB
195,58.67,13.64,TeamB
196,63.2,41.2,TeamB
197,78.7,7.88,TeamB
198,76.59,22.48,TeamB
199,57.9,16.27,TeamB
200,54.29,30.61,TeamB
201,83.18,47.35,TeamB
202,85.43,4.91,TeamB
203,93.4,42.38,TeamB
204,90.25,3.33,TeamB
205,60.05,45.26,TeamB
206,93.32,1.33,TeamB
207,89.64,8.18,TeamB
208,67.59,37.07,TeamB
209,81.7,23.69,TeamB
210,64.35,33.7,TeamB
211,71.28,43.05,TeamB
212,71.63,39.79,TeamB
213,60.94,1.09,TeamB
214,77.81,12.14,TeamB
215,84.58,27.42,TeamB
216,87.57,24.52,TeamB
217,96.75,1.49,TeamB
218,64.27,26.05,TeamB
219,53.28,7.84,TeamB
220,64.61,31.93,TeamB
221,66.57,23.08,TeamB
222,74.44,1.89,TeamB
223,73.56,38.46,TeamB
224,69.86,24.97,TeamB
225,98.73,21.42,TeamB
226,74.53,16.97,TeamB
227,51.26,47.25,TeamB
228,60.29,32.86,TeamB
229,57.86,44.47,TeamB
230,68.79,26.48,TeamB
231,50.2,35.25,TeamB
232,93.51,36.74,TeamB
233,75.0,6.2,TeamB
234,77.24,49.71,TeamB
235,98.48,44.52,TeamB
236,74.44,26.26,TeamB
237,72.66,2.23,TeamB
238,66.23,42.08,TeamB
239,92.29,13.65,TeamB
240,64.56,34.8,TeamB
241,57.66,17.71,TeamB
242,78.14,31.64,TeamB
243,90.58,35.37,TeamB
244,60.17,14.67,TeamB
245,77.18,31.2,TeamB
246,57.93,36.59,TeamB
247,67.53,31.11,TeamB
248,92.89,6.08,TeamB
249,70.25,23.6,TeamB
250,64.2,27.62,TeamB
251,63.8,28.4,TeamB
252,73.69,17.74,TeamB
253,66.23,45.11,TeamB
254,76.18,8.87,TeamB
255,59.57,46.58,TeamB
256,79.72,37.67,TeamB
257,79.89,32.98,TeamB
258,83.3,9.3,TeamB
259,89.31,28.39,TeamB
260,86.51,25.2,TeamB
261,55.43,10.21,TeamB
262,77.73,46.17,TeamB
263,54.2,49.12,TeamB
264,64.99,36.74,TeamB
265,60.38,31.78,TeamB
266,58.15,11.57,TeamB
267,54.99,35.91,TeamB
268,93.27,33.82,TeamB
269,92.7,14.9,TeamB
270,73.51,21.14,TeamB
271,80.98,3.04,TeamB
272,73.88,3.72,TeamB
273,50.76,9.76,TeamB
274,56.87,15.36,TeamB
275,58.1,3.52,TeamB
276,54.92,9.61,TeamB
277,91.71,12.13,TeamB
278,57.08,21.47,TeamB
279,79.99,6.24,TeamB
280,60.03,9.28,TeamB
281,79.88,10.46,TeamB
282,88.97,25.66,TeamB
283,73.25,15.09,TeamB
284,91.01,43.56,TeamB
285,54.8,5.39,TeamB
286,91.45,44.53,TeamB
287,74.87,22.53,TeamB
288,65.61,10.45,TeamB
289,55.87,11.02,TeamB
290,59.0,34.74,TeamB
291,86.9,36.43,TeamB
292,85.63,34.22,TeamB
293,81.48,14.64,TeamB
294,52.74,30.59,TeamB
295,54.7,39.55,TeamB
296,95.93,30.6,TeamB
297,53.67,21.86,TeamB
298,64.32,8.02,TeamB
299,80.69,5.89,TeamB
300,29.02,61.38,TeamB
301,38.15,85.38,TeamB
302,19.78,50.76,TeamB
303,28.63,82.61,TeamB
304,5.9,72.53,TeamB
305,4.38,65.03,TeamB
306,47.62,67.96,TeamB
307,8.92,83.72,TeamB
308,34.02,83.53,TeamB
309,27.89,93.99,TeamB
310,14.94,98.84,TeamB
311,46.14,87.91,TeamB
312,25.88,96.99,TeamB
313,37.28,64.14,TeamB
314,39.3,96.5,TeamB
315,33.85,74.86,TeamB
316,23.63,87.92,TeamB
317,23.95,95.1,TeamB
318,38.83,50.9,TeamB
319,17.98,65.34,TeamB
320,21.22,57.33,TeamB
321,32.74,97.37,TeamB
322,10.53,57.84,TeamB
323,48.97,56.77,TeamB
324,29.03,85.77,TeamB
325,2.34,86.72,TeamB
326,23.34,60.89,TeamB
327,42.56,91.47,TeamB
328,34.44,71.19,TeamB
329,21.23,75.83,TeamB
330,46.84,83.79,TeamB
331,45.61,60.06,TeamB
332,16.51,93.06,TeamB
333,16.01,58.1,TeamB
334,49.57,59.13,TeamB
335,18.15,54.32,TeamB
336,39.45,60.22,TeamB
337,1.29,79.58,TeamB
338,30.35,58.25,TeamB
339,34.63,55.66,TeamB
340,23.04,62.16,TeamB
341,6.63,98.1,TeamB
342,49.57,92.35,TeamB
343,48.85,88.31,TeamB
344,3.69,93.01,TeamB
345,26.8,95.91,TeamB
346,27.86,74.1,TeamB
347,39.71,87.33,TeamB
348,9.89,51.33,TeamB
349,16.43,52.01,TeamB
350,36.45,63.92,TeamB
351,14.22,83.89,TeamB
352,14.1,76.24,TeamB
353,21.7,86.87,TeamB
354,22.3,87.92,TeamB
355,19.22,72.65,TeamB
356,23.13,62.32,TeamB
357,17.16,68.35,TeamB
358,32.77,64.6,TeamB
359,3.09,78.63,TeamB
360,47.75,66.33,TeamB
361,27.02,54.53,TeamB
362,26.59,95.84,TeamB
363,6.06,56.22,TeamB
364,16.23,65.0,TeamB
365,23.99,97.4,TeamB
366,31.29,88.96,TeamB
367,5.75,56.73,TeamB
368,8.5,90.29,TeamB
369,11.89,53.31,TeamB
370,24.64,67.83,TeamB
371,37.57,72.86,TeamB
372,17.94,59.6,TeamB
373,6.68,83.07,TeamB
374,9.24,83.34,TeamB
375,26.55,60.58,TeamB
376,44.99,75.5,TeamB
377,10.73,54.51,TeamB
378,18.5,68.16,TeamB
379,41.76,94.46,TeamB
380,13.51,66.14,TeamB
381,2.43,90.94,TeamB
382,5.13,67.7,TeamB
383,5.56,70.48,TeamB
384,17.79,91.96,TeamB
385,29.67,55.79,TeamB
386,15.28,62.85,TeamB
387,41.31,72.38,TeamB
388,20.42,97.08,TeamB
389,23.51,50.22,TeamB
390,8.29,59.83,TeamB
391,44.12,57.08,TeamB
392,33.47,86.19,TeamB
393,46.66,75.4,TeamB
394,16.88,80.16,TeamB
395,19.41,92.22,TeamB
396,42.29,84.05,TeamB
397,47.83,55.17,TeamB
398,4.77,53.91,TeamB
399,48.53,60.77,TeamB
400,30.08,82.0,TeamB
401,47.56,91.53,TeamB
402,6.81,96.46,TeamB
403,16.89,71.49,TeamB
404,45.77,80.13,TeamB
405,19.36,97.73,TeamB
406,47.17,74.17,TeamB
407,38.23,57.05,TeamB
408,6.53,72.26,TeamB
409,49.33,74.28,TeamB
410,25.39,60.47,TeamB
411,25.0,79.21,TeamB
412,1.77,80.71,TeamB
413,4.14,57.4,TeamB
414,34.69,69.55,TeamB
415,15.2,57.41,TeamB
416,42.4,66.12,TeamB
417,48.32,71.8,TeamB
418,2.78,76.01,TeamB
419,38.32,63.57,TeamB
420,33.18,80.4,TeamB
421,24.1,93.04,TeamB
422,37.25,75.19,TeamB
423,3.0,97.17,TeamB
424,12.1,83.48,TeamB
425,14.08,80.51,TeamB
426,29.04,85.96,TeamB
427,38.59,75.22,TeamB
428,13.15,84.97,TeamB
429,15.85,61.65,TeamB
430,34.58,65.94,TeamB
431,46.84,74.11,TeamB
432,14.38,94.84,TeamB
433,15.74,94.62,TeamB
434,43.09,64.53,TeamB
435,38.07,58.22,TeamB
436,4.95,79.49,TeamB
437,8.33,64.77,TeamB
438,2.95,54.64,TeamB
439,5.01,84.26,TeamB
440,18.87,88.61,TeamB
441,44.49,63.32,TeamB
442,18.06,94.22,TeamB
443,35.59,51.84,TeamB
444,14.02,80.61,TeamB
445,7.87,80.46,TeamB
446,8.36,81.59,TeamB
447,30.39,70.0,TeamB
448,22.04,85.61,TeamB
449,46.69,57.17,TeamB
450,25.0,94.97,TeamB
451,12.87,73.24,TeamB
452,28.34,75.2,TeamB
453,45.05,93.72,TeamB
454,26.15,83.77,TeamB
455,35.01,87.89,TeamB
456,9.3,54.06,TeamB
457,6.01,82.79,TeamB
458,31.9,62.93,TeamB
459,7.09,88.37,TeamB
460,49.42,58.9,TeamB
461,39.48,95.93,TeamB
462,14.16,75.1,TeamB
463,12.23,81.05,TeamB
464,33.56,54.35,TeamB
465,30.3,90.99,TeamB
466,23.71,60.82,TeamB
467,11.89,72.83,TeamB
468,9.76,93.43,TeamB
469,48.3,89.8,TeamB
470,2.99,58.26,TeamB
471,15.56,55.77,TeamB
472,3.77,60.97,TeamB
473,12.77,67.69,TeamB
474,39.94,71.69,TeamB
475,32.41,62.36,TeamB
476,19.44,57.07,TeamB
477,48.35,79.4,TeamB
478,27.87,88.28,TeamB
479,29.36,88.17,TeamB
480,10.0,73.16,TeamB
481,30.91,62.33,TeamB
482,22.27,51.9,TeamB
483,19.37,63.53,TeamB
484,13.07,50.43,TeamB
485,9.3,74.47,TeamB
486,2.43,77.79,TeamB
487,25.79,78.11,TeamB
488,14.64,73.13,TeamB
489,48.57,56.73,TeamB
490,39.52,61.68,TeamB
491,19.68,67.07,TeamB
492,14.66,86.69,TeamB
493,17.1,75.31,TeamB
494,22.4,74.84,TeamB
495,18.19,90.54,TeamB
496,3.89,76.71,TeamB
497,13.17,97.73,TeamB
498,4.86,55.71,TeamB
499,8.77,86.28,TeamB
500,9.02,54.17,TeamB
501,47.9,66.42,TeamB
502,17.11,93.41,TeamB
503,48.16,84.26,TeamB
504,37.48,93.03,TeamB
505,38.39,50.31,TeamB
506,11.55,61.27,TeamB
507,49.53,58.67,TeamB
508,14.68,81.3,TeamB
509,2.75,51.61,TeamB
510,14.44,71.94,TeamB
511,10.4,57.82,TeamB
512,47.96,75.22,TeamB
513,44.88,72.95,TeamB
514,18.17,88.41,TeamB
515,25.83,88.97,TeamB
516,1.27,88.52,TeamB
517,21.87,75.5,TeamB
518,22.95,68.6,TeamB
519,43.57,91.17,TeamB
520,40.34,58.18,TeamB
521,5.38,65.22,TeamB
522,14.99,64.47,TeamB
523,32.01,71.64,TeamB
524,40.03,86.15,TeamB
525,29.23,85.54,TeamB
526,8.9,55.35,TeamB
527,33.58,57.62,TeamB
528,12.96,89.51,TeamB
529,43.61,53.05,TeamB
530,13.21,59.04,TeamB
531,48.62,84.17,TeamB
532,22.86,92.69,TeamB
533,43.29,93.7,TeamB
534,13.21,73.56,TeamB
535,32.76,63.63,TeamB
536,20.97,87.95,TeamB
537,3.06,75.26,TeamB
538,41.93,96.8,TeamB
539,29.46,52.88,TeamB
540,15.47,70.66,TeamB
541,3.58,52.5,TeamB
542,25.54,87.7,TeamB
543,23.59,92.79,TeamB
544,21.23,57.64,TeamB
545,20.04,76.47,TeamB
546,22.9,91.36,TeamB
547,32.58,50.69,TeamB
548,3.76,54.92,TeamB
549,23.35,82.13,TeamB
550,49.12,97.83,TeamB
551,13.45,93.87,TeamB
552,19.24,76.08,TeamB
553,9.27,55.96,TeamB
554,43.51,77.13,TeamB
555,39.09,68.61,TeamB
556,25.06,65.77,TeamB
557,4.5,90.88,TeamB
558,31.53,56.16,TeamB
559,10.95,81.89,TeamB
560,36.03,72.23,TeamB
561,11.07,50.62,TeamB
562,46.84,68.66,TeamB
563,46.17,80.74,TeamB
564,22.89,50.75,TeamB
565,19.89,86.13,TeamB
566,36.91,93.66,TeamB
567,10.53,55.18,TeamB
568,11.02,57.59,TeamB
569,3.46,77.63,TeamB
570,5.98,95.03,TeamB
571,1.0,63.94,TeamB
572,37.66,62.45,TeamB
573,33.66,57.07,TeamB
574,48.47,64.64,TeamB
575,45.01,81.57,TeamB
576,44.19,98.53,TeamB
577,38.09,53.88,TeamB
578,38.42,58.12,TeamB
579,41.57,87.8,TeamB
580,19.56,97.75,TeamB
581,24.09,56.32,TeamB
582,6.65,52.91,TeamB
583,6.29,76.26,TeamB
584,27.57,84.19,TeamB
585,25.33,80.86,TeamB
586,19.28,62.7,TeamB
587,28.41,81.99,TeamB
588,48.78,63.59,TeamB
589,45.26,67.66,TeamB
590,20.31,71.18,TeamB
591,20.93,77.22,TeamB
592,25.13,76.48,TeamB
593,39.21,57.06,TeamB
594,26.45,54.54,TeamB
595,44.1,77.63,TeamB
596,37.76,66.97,TeamB
597,8.87,75.68,TeamB
598,12.62,91.56,TeamB
599,34.95,89.6,TeamB
600,42.84,79.84,TeamB
601,37.62,85.69,TeamB
602,20.33,55.35,TeamB
603,3.82,87.84,TeamB
604,15.49,96.07,TeamB
605,47.01,80.07,TeamB
606,12.69,68.61,TeamB
607,41.24,69.46,TeamB
608,33.35,90.3,TeamB
609,38.43,86.56,TeamB
610,44.09,71.83,TeamB
611,12.42,70.05,TeamB
612,4.54,69.07,TeamB
613,4.45,70.33,TeamB
614,22.81,63.59,TeamB
615,1.8,61.48,TeamB
616,30.12,70.75,TeamB
617,46.39,74.71,TeamB
618,8.71,77.6,TeamB
619,29.47,86.8,TeamB
620,40.43,74.95,TeamB
621,2.3,73.23,TeamB
622,21.35,88.65,TeamB
623,41.69,61.93,TeamB
624,37.32,68.75,TeamB
625,42.82,54.19,TeamB
626,39.58,81.08,TeamB
627,10.97,59.11,TeamB
628,40.45,60.6,TeamB
629,44.46,93.57,TeamB
630,2.7,58.17,TeamB
631,42.33,89.72,TeamB
632,48.16,69.12,TeamB
633,10.9,64.58,TeamB
634,10.05,85.46,TeamB
635,9.34,95.68,TeamB
636,38.9,59.32,TeamB
637,41.03,55.27,TeamB
638,31.19,92.25,TeamB
639,11.99,61.44,TeamB
640,32.35,64.41,TeamB
641,22.04,64.64,TeamB
642,18.96,85.23,TeamB
643,20.23,70.85,TeamB
644,21.75,66.52,TeamB
645,18.89,73.89,TeamB
646,22.5,88.79,TeamB
647,36.03,76.84,TeamB
648,36.55,82.91,TeamB
649,16.42,74.43,TeamB
650,50.68,67.19,TeamA
651,84.71,91.3,TeamA
652,57.86,79.89,TeamA
653,90.09,80.28,TeamA
654,95.15,59.38,TeamA
655,69.62,92.18,TeamA
656,78.18,67.62,TeamA
657,80.84,68.71,TeamA
658,67.8,77.8,TeamA
659,89.89,75.37,TeamA
660,98.16,82.21,TeamA
661,59.24,65.57,TeamA
662,60.46,99.0,TeamA
663,90.0,84.95,TeamA
664,74.73,66.67,TeamA
665,78.32,81.58,TeamA
666,64.25,61.46,TeamA
667,67.73,75.8,TeamA
668,57.22,78.38,TeamA
669,55.48,97.93,TeamA
670,72.93,71.69,TeamA
671,60.68,79.57,TeamA
672,85.33,56.58,TeamA
673,50.29,50.94,TeamA
674,54.24,65.03,TeamA
675,92.68,81.53,TeamA
676,77.22,70.81,TeamA
677,51.96,88.63,TeamA
678,52.09,84.52,TeamA
679,67.24,68.71,TeamA
680,93.88,69.59,TeamA
681,83.26,54.56,TeamA
682,69.84,89.0,TeamA
683,78.77,73.25,TeamA
684,92.95,75.79,TeamA
685,90.42,93.19,TeamA
686,74.08,87.53,TeamA
687,66.32,85.05,TeamA
688,76.38,54.63,TeamA
689,91.24,67.21,TeamA
690,59.22,95.31,TeamA
691,85.69,83.4,TeamA
692,69.97,51.51,TeamA
693,88.87,56.86,TeamA
694,72.93,69.36,TeamA
695,89.83,79.34,TeamA
696,84.62,91.09,TeamA
697,83.41,56.05,TeamA
698,78.56,74.31,TeamA
699,62.32,87.78,TeamA
700,89.06,68.59,TeamA
701,72.22,59.94,TeamA
702,59.09,71.75,TeamA
703,63.25,52.3,TeamA
704,91.61,95.95,TeamA
705,62.51,85.49,TeamA
706,76.33,80.48,TeamA
707,96.96,63.49,TeamA
708,85.86,74.96,TeamA
709,65.95,55.97,TeamA
710,90.11,63.09,TeamA
711,94.35,86.01,TeamA
712,60.97,78.99,TeamA
713,79.56,80.74,TeamA
714,51.18,76.98,TeamA
715,73.77,98.17,TeamA
716,51.1,61.13,TeamA
717,74.52,83.33,TeamA
718,93.23,95.56,TeamA
719,80.97,80.21,TeamA
720,61.01,84.43,TeamA
721,71.23,92.2,TeamA
722,50.49,75.6,TeamA
723,98.39,69.15,TeamA
724,69.25,97.6,TeamA
725,72.29,71.83,TeamA
726,56.65,69.05,TeamA
727,54.32,65.94,TeamA
728,94.16,54.9,TeamA
729,60.95,70.02,TeamA
730,51.74,81.84,TeamA
731,65.57,56.48,TeamA
732,76.45,78.53,TeamA
733,84.41,87.09,TeamA
734,50.18,97.87,TeamA
735,85.36,57.63,TeamA
736,87.7,82.61,TeamA
737,85.08,65.83,TeamA
738,57.28,54.39,TeamA
739,90.95,92.06,TeamA
740,66.92,91.29,TeamA
741,79.61,60.62,TeamA
742,50.41,67.89,TeamA
743,90.84,80.26,TeamA
744,62.59,97.38,TeamA
745,51.25,57.31,TeamA
746,80.63,76.07,TeamA
747,85.74,72.49,TeamA
748,81.81,89.05,TeamA
749,75.8,74.68,TeamA
750,96.31,73.71,TeamA
751,95.74,59.96,TeamA
752,65.34,94.21,TeamA
753,77.36,86.16,TeamA
754,73.39,82.7,TeamA
755,97.82,58.78,TeamA
756,70.22,73.42,TeamA
757,75.98,68.87,TeamA
758,65.9,97.93,TeamA
759,81.91,98.31,TeamA
760,77.97,88.91,TeamA
761,72.0,87.73,TeamA
762,50.23,90.97,TeamA
763,82.17,98.31,TeamA
764,95.25,96.51,TeamA
765,50.94,79.84,TeamA
766,52.7,72.4,TeamA
767,57.24,92.61,TeamA
768,60.43,60.41,TeamA
769,85.77,76.71,TeamA
770,90.32,57.65,TeamA
771,54.08,85.72,TeamA
772,96.6,59.53,TeamA
773,71.37,86.89,TeamA
774,96.74,84.17,TeamA
775,78.47,87.46,TeamA
776,85.48,56.74,TeamA
777,68.55,85.96,TeamA
778,57.82,97.45,TeamA
779,74.8,84.4,TeamA
780,87.65,67.87,TeamA
781,61.28,94.32,TeamA
782,51.79,79.71,TeamA
783,94.24,84.98,TeamA
784,51.94,92.77,TeamA
785,91.93,88.39,TeamA
786,77.34,90.03,TeamA
787,55.54,85.56,TeamA
788,68.41,66.15,TeamA
789,86.88,84.89,TeamA
790,98.84,51.21,TeamA
791,73.58,97.98,TeamA
792,58.73,68.08,TeamA
793,92.87,60.97,TeamA
794,89.64,92.77,TeamA
795,92.33,90.07,TeamA
796,97.86,64.25,TeamA
797,53.2,94.61,TeamA
798,59.4,71.6,TeamA
799,53.6,73.92,TeamA
800,85.45,96.15,TeamA
801,87.48,85.41,TeamA
802,97.27,86.33,TeamA
803,71.07,80.67,TeamA
804,77.31,69.57,TeamA
805,89.69,50.75,TeamA
806,61.51,69.54,TeamA
807,60.18,76.6,TeamA
808,81.92,90.07,TeamA
809,90.41,57.31,TeamA
810,81.87,59.75,TeamA
811,89.24,81.55,TeamA
812,64.38,96.87,TeamA
813,84.23,58.93,TeamA
814,70.49,77.96,TeamA
815,95.3,88.93,TeamA
816,73.18,57.02,TeamA
817,89.85,97.32,TeamA
818,68.16,71.38,TeamA
819,85.23,55.46,TeamA
820,78.02,95.19,TeamA
821,71.41,52.58,TeamA
822,88.7,82.53,TeamA
823,98.02,60.8,TeamA
824,74.23,68.83,TeamA
825,74.34,78.7,TeamA
826,51.55,76.19,TeamA
827,68.1,69.78,TeamA
828,61.23,92.2,TeamA
829,89.91,82.71,TeamA
830,62.2,67.46,TeamA
831,53.58,61.63,TeamA
832,70.18,63.09,TeamA
833,64.44,69.27,TeamA
834,66.79,59.18,TeamA
835,93.63,88.08,TeamA
836,69.51,92.35,TeamA
837,89.41,98.02,TeamA
838,85.03,68.69,TeamA
839,56.88,98.52,TeamA
840,80.67,89.89,TeamA
841,96.8,83.42,TeamA
842,74.33,55.53,TeamA
843,57.89,98.8,TeamA
844,99.0,93.74,TeamA
845,55.4,58.51,TeamA
846,64.82,72.13,TeamA
847,73.03,69.42,TeamA
848,93.35,50.4,TeamA
849,59.09,69.49,TeamA
850,69.91,97.52,TeamA
851,81.46,75.14,TeamA
852,73.17,52.69,TeamA
853,76.2,92.8,TeamA
854,72.65,62.18,TeamA
855,67.31,93.27,TeamA
856,93.35,77.78,TeamA
857,53.95,85.32,TeamA
858,64.37,79.93,TeamA
859,57.37,95.05,TeamA
860,63.31,76.97,TeamA
861,93.35,51.52,TeamA
862,51.88,65.98,TeamA
863,90.84,52.93,TeamA
864,84.49,88.52,TeamA
865,58.24,59.71,TeamA
866,80.17,76.1,TeamA
867,89.36,58.6,TeamA
868,88.65,61.81,TeamA
869,85.27,55.97,TeamA
870,83.19,66.26,TeamA
871,93.32,53.66,TeamA
872,54.78,87.57,TeamA
873,76.89,95.13,TeamA
874,84.73,91.54,TeamA
875,93.48,62.69,TeamA
876,57.16,96.58,TeamA
877,66.88,69.8,TeamA
878,78.26,71.61,TeamA
879,61.2,71.65,TeamA
880,72.14,79.5,TeamA
881,55.56,72.93,TeamA
882,55.29,67.9,TeamA
883,62.39,64.46,TeamA
884,66.2,60.42,TeamA
885,76.37,64.24,TeamA
886,73.18,83.02,TeamA
887,85.89,58.17,TeamA
888,54.77,97.64,TeamA
889,68.16,58.17,TeamA
890,66.84,90.74,TeamA
891,91.14,54.67,TeamA
892,55.6,86.0,TeamA
893,62.85,60.23,TeamA
894,54.38,75.3,TeamA
895,85.79,56.87,TeamA
896,69.92,50.92,TeamA
897,84.98,83.02,TeamA
898,67.62,52.42,TeamA
899,97.84,83.74,TeamA
