,Cost,Rating,Quality
210,3047.74,32.75,Good
211,2875.18,29.98,Good
212,3971.72,50.74,Good
213,2535.75,21.4,Good
214,3782.07,47.16,Good
215,3715.76,46.94,Good
216,2600.52,26.02,Good
217,3895.57,52.45,Good
218,3993.05,55.55,Good
219,3867.57,49.58,Good
220,3543.07,45.39,Good
221,2663.72,22.07,Good
222,3871.97,49.53,Good
223,3347.66,37.05,Good
224,2669.11,22.42,Good
225,2518.35,19.37,Good
226,3207.93,39.14,Good
227,2736.51,23.41,Good
228,2875.92,27.8,Good
229,3306.51,41.03,Good
230,2643.77,23.2,Good
231,3038.69,33.6,Good
232,2740.53,25.15,Good
233,2689.05,22.88,Good
234,2764.49,24.35,Good
235,3672.18,44.79,Good
236,3639.53,44.82,Good
237,3302.37,40.99,Good
238,3516.59,42.14,Good
239,3671.33,46.61,Good
240,3500.71,41.31,Good
241,3854.34,47.21,Good
242,2893.93,26.14,Good
243,2607.88,22.04,Good
244,2542.49,20.14,Good
245,3701.04,45.97,Good
246,2724.76,26.47,Good
247,3424.66,38.52,Good
248,3224.28,37.28,Good
249,3600.34,44.55,Good
250,3678.14,44.37,Good
251,2883.57,28.13,Good
252,2527.78,26.84,Good
253,3066.45,29.67,Good
254,3654.59,45.74,Good
255,3022.21,30.45,Good
256,2920.14,29.01,Good
257,3803.21,49.09,Good
258,2792.4,28.61,Good
259,3535.07,42.18,Good
260,3779.34,47.1,Good
261,3871.65,48.71,Good
262,2647.32,22.7,Good
263,2971.27,31.9,Good
264,2670.84,26.68,Good
265,3128.23,32.82,Good
266,2518.33,22.98,Good
267,2661.85,25.21,Good
268,2786.24,24.82,Good
269,3313.2,38.78,Good
270,3653.14,47.3,Good
271,2650.81,22.42,Good
272,2731.1,21.41,Good
273,3011.86,32.65,Good
274,2855.87,30.42,Good
275,3738.32,45.89,Good
276,2983.91,33.13,Good
277,3383.07,38.38,Good
278,3064.74,35.74,Good
279,3591.66,43.59,Good
280,3743.21,48.6,Good
281,3763.66,49.31,Good
282,3088.98,29.81,Good
283,3881.96,47.68,Good
284,2549.97,21.46,Good
285,3155.05,33.83,Good
286,3495.66,40.6,Good
287,3806.78,50.46,Good
288,3495.01,42.77,Good
289,3745.96,45.27,Good
290,3199.34,37.44,Good
291,3665.92,45.73,Good
292,2785.61,26.72,Good
293,3856.02,52.03,Good
294,3025.31,31.05,Good
295,3271.19,35.44,Good
296,3046.77,34.27,Good
297,3714.12,47.71,Good
298,2869.83,27.36,Good
299,3793.04,50.38,Good
300,2763.2,25.26,Good
301,2878.72,25.1,Good
302,2579.27,20.59,Good
303,3777.3,46.33,Good
304,2792.83,27.21,Good
305,3792.45,49.5,Good
306,2504.39,20.34,Good
307,3955.28,52.96,Good
308,3232.86,36.92,Good
309,2596.79,25.24,Good
310,3720.37,49.12,Good
311,3280.5,39.11,Good
312,2950.68,32.74,Good
313,3626.95,45.12,Good
314,3014.43,35.13,Good
315,3552.71,42.97,Good
316,2897.33,23.5,Good
317,2849.99,29.52,Good
318,3142.89,33.04,Good
319,2617.14,23.12,Good
320,2700.91,29.51,Good
321,3041.91,33.1,Good
322,2680.97,27.95,Good
323,3540.66,42.76,Good
324,3788.31,47.01,Good
325,2975.2,32.21,Good
326,3674.6,47.62,Good
327,3461.04,38.15,Good
328,2987.13,32.32,Good
329,3795.59,48.42,Good
330,2917.2,29.64,Good
331,3392.65,38.42,Good
332,3354.0,40.76,Good
333,2941.81,31.89,Good
334,3315.06,37.62,Good
335,3640.96,44.12,Good
336,3185.21,37.35,Good
337,3226.64,39.55,Good
338,3753.44,47.41,Good
339,3231.69,38.25,Good
340,2535.39,18.36,Good
341,2915.57,28.04,Good
342,3807.83,47.33,Good
343,3060.92,33.82,Good
344,3750.66,46.55,Good
345,2609.11,23.21,Good
346,3960.14,54.53,Good
347,3124.46,30.75,Good
348,3772.85,48.77,Good
349,2636.71,22.16,Good
350,3913.12,48.78,Good
351,3695.86,45.45,Good
352,2901.29,29.81,Good
353,3556.15,42.12,Good
354,2932.27,29.07,Good
355,3612.19,43.36,Good
356,3166.32,37.9,Good
357,2977.51,31.34,Good
358,3431.44,38.84,Good
359,3175.26,36.01,Good
360,3202.49,36.95,Good
361,2617.43,19.93,Good
362,3620.88,48.4,Good
363,3860.11,47.7,Good
364,2721.59,24.17,Good
365,3087.74,36.08,Good
366,3924.21,51.19,Good
367,3992.33,52.25,Good
368,3089.36,33.26,Good
369,2788.03,23.0,Good
370,3003.57,27.56,Good
371,3727.76,48.12,Good
372,3746.29,48.87,Good
373,2697.62,24.51,Good
374,2619.19,24.72,Good
375,3771.28,47.66,Good
376,3033.39,29.39,Good
377,3005.12,34.25,Good
378,3122.38,34.65,Good
379,3339.51,36.99,Good
380,2573.78,22.83,Good
381,2813.18,29.01,Good
382,3783.2,47.78,Good
383,2727.27,26.15,Good
384,2612.98,19.01,Good
385,3375.48,37.78,Good
386,3891.41,52.1,Good
387,3927.88,50.45,Good
388,2741.51,27.73,Good
389,3079.06,32.68,Good
390,3584.71,41.37,Good
391,2661.75,26.06,Good
392,3283.95,35.65,Good
393,3503.93,42.5,Good
394,3719.71,43.49,Good
395,3415.19,42.04,Good
396,3559.41,45.52,Good
397,3577.69,44.66,Good
398,2838.64,29.75,Good
399,3081.87,36.35,Good
400,4553.87,85.28,Premium
401,4381.7,76.14,Premium
402,4579.18,85.95,Premium
403,4828.38,96.67,Premium
404,4136.84,73.1,Premium
405,3956.57,60.19,Premium
406,4237.76,68.09,Premium
407,4697.46,91.34,Premium
408,4756.45,90.33,Premium
409,4752.86,89.49,Premium
410,4599.44,89.54,Premium
411,4224.42,74.65,Premium
412,4653.19,86.59,Premium
413,4429.35,81.2,Premium
414,4827.33,93.71,Premium
415,4460.94,79.13,Premium
416,4742.5,87.3,Premium
417,4217.92,71.03,Premium
418,3687.33,49.56,Premium
419,4763.19,88.28,Premium
420,3709.95,58.69,Premium
421,4278.61,71.94,Premium
422,4247.99,71.87,Premium
423,3628.9,47.45,Premium
424,4345.64,77.54,Premium
425,4221.23,69.76,Premium
426,4517.14,82.97,Premium
427,3801.26,60.34,Premium
428,4080.47,68.13,Premium
429,4487.4,81.23,Premium
430,4374.41,74.37,Premium
431,4785.61,91.25,Premium
432,3759.93,55.63,Premium
433,4049.8,61.74,Premium
434,4159.28,65.25,Premium
435,3918.92,59.82,Premium
436,4890.29,93.84,Premium
437,4687.61,88.56,Premium
438,3732.64,51.29,Premium
439,4244.63,75.05,Premium
440,3833.91,62.0,Premium
441,4472.63,82.48,Premium
442,4178.47,68.23,Premium
443,4459.84,80.46,Premium
444,3758.1,54.35,Premium
445,4391.07,76.46,Premium
446,4173.84,75.6,Premium
447,4127.21,73.36,Premium
448,4032.95,70.94,Premium
449,4654.28,87.54,Premium
450,4011.18,61.3,Premium
451,3721.03,54.86,Premium
452,4912.42,92.85,Premium
453,4802.98,93.9,Premium
454,4935.66,96.31,Premium
455,4718.58,86.09,Premium
456,4691.84,94.07,Premium
457,3950.22,62.51,Premium
458,4107.51,65.05,Premium
459,4639.75,85.48,Premium
460,4509.35,86.62,Premium
461,4354.91,72.63,Premium
462,3530.81,47.36,Premium
463,4620.88,83.24,Premium
464,3700.8,48.53,Premium
465,3981.16,61.61,Premium
466,4772.64,91.57,Premium
467,4858.76,95.8,Premium
468,4019.63,66.0,Premium
469,3549.61,52.6,Premium
470,3824.08,49.81,Premium
471,4032.76,64.69,Premium
472,4117.12,68.46,Premium
473,4675.1,89.72,Premium
474,4522.72,84.33,Premium
475,3531.54,48.12,Premium
476,3631.47,51.75,Premium
477,4441.58,81.69,Premium
478,4463.87,78.93,Premium
479,3825.84,61.76,Premium
480,4516.08,86.45,Premium
481,4543.4,79.11,Premium
482,3845.24,62.18,Premium
483,4343.9,76.35,Premium
484,3848.25,58.43,Premium
485,4502.11,80.2,Premium
486,4818.53,91.71,Premium
487,4928.51,91.91,Premium
488,3852.49,60.49,Premium
489,4936.95,97.39,Premium
490,4210.82,68.6,Premium
491,4489.75,80.33,Premium
492,4683.52,88.19,Premium
493,3921.64,55.54,Premium
494,4581.56,82.33,Premium
495,4551.73,84.62,Premium
496,3576.58,44.5,Premium
497,4577.01,84.15,Premium
498,3931.96,65.28,Premium
499,3695.16,58.95,Premium
500,4335.72,73.63,Premium
501,4647.15,89.12,Premium
502,4185.97,71.81,Premium
503,4539.42,84.77,Premium
504,3777.86,58.39,Premium
505,4975.83,98.41,Premium
506,3539.97,45.2,Premium
507,4210.38,69.06,Premium
508,3808.83,55.64,Premium
509,3963.03,59.62,Premium
510,4241.5,72.65,Premium
511,3841.33,60.28,Premium
512,4064.12,67.68,Premium
513,3909.02,59.98,Premium
514,4176.94,76.88,Premium
515,3835.22,59.16,Premium
516,4706.7,85.81,Premium
517,3870.4,57.62,Premium
518,4524.14,85.16,Premium
519,4238.43,76.58,Premium
520,4088.38,67.09,Premium
521,4582.8,82.72,Premium
522,4468.94,81.71,Premium
523,4829.69,89.9,Premium
524,4305.19,75.91,Premium
525,4557.74,77.72,Premium
526,4653.53,93.03,Premium
527,3601.72,50.57,Premium
528,4549.61,82.12,Premium
529,3548.34,43.24,Premium
530,4311.44,72.23,Premium
531,4365.62,78.09,Premium
532,4095.15,65.59,Premium
533,4999.19,96.45,Premium
534,4240.23,76.1,Premium
535,4175.21,69.94,Premium
536,4169.38,66.02,Premium
537,3549.42,46.26,Premium
538,4631.64,85.69,Premium
539,4729.96,90.22,Premium
540,4252.86,74.19,Premium
541,4704.07,88.05,Premium
542,4112.62,69.26,Premium
543,3780.81,54.78,Premium
544,3740.55,54.46,Premium
545,4012.96,65.06,Premium
546,3810.74,54.75,Premium
547,4633.63,84.62,Premium
548,4409.46,78.89,Premium
549,4280.06,69.41,Premium
550,4686.14,90.2,Premium
551,3590.65,49.02,Premium
552,4562.19,85.02,Premium
553,4561.0,86.86,Premium
554,4458.64,72.14,Premium
555,3637.65,50.67,Premium
556,4626.19,88.17,Premium
557,3710.68,50.4,Premium
558,4097.77,67.61,Premium
559,3717.18,52.72,Premium
560,4272.76,68.27,Premium
561,4547.1,81.42,Premium
562,4762.23,91.81,Premium
563,3740.44,57.12,Premium
564,3989.86,61.5,Premium
565,4173.34,69.25,Premium
566,3854.15,53.84,Premium
567,4562.21,82.15,Premium
568,3831.78,60.78,Premium
569,3974.11,66.22,Premium
570,3963.24,64.77,Premium
571,3905.87,61.02,Premium
572,4837.96,99.0,Premium
573,4167.67,69.46,Premium
574,4863.4,95.39,Premium
575,3570.71,52.45,Premium
576,4284.12,72.75,Premium
577,4484.82,75.06,Premium
578,3602.49,49.78,Premium
579,4464.42,78.52,Premium
580,4603.11,81.41,Premium
581,4329.67,80.13,Premium
582,4711.17,86.64,Premium
583,3898.86,61.87,Premium
584,4507.85,81.08,Premium
585,3727.3,58.42,Premium
586,4825.07,95.14,Premium
587,4508.76,82.06,Premium
588,4966.69,97.96,Premium
589,4062.1,69.08,Premium
590,3734.37,55.56,Premium
591,3871.91,64.42,Premium
592,4310.86,76.53,Premium
593,4970.41,92.08,Premium
594,4453.51,82.51,Premium
595,4271.28,75.52,Premium
596,3638.32,49.51,Premium
597,4182.85,71.94,Premium
598,3523.19,46.0,Premium
599,3696.97,55.05,Premium
