,MaxSpeed,Mass,Type
387,97.7,5118.35,Truck
388,187.04,5347.25,Truck
389,192.74,4355.05,Truck
390,186.43,4850.29,Truck
391,172.52,7212.84,Truck
392,90.94,6559.01,Truck
393,174.24,4454.13,Truck
394,223.44,7372.75,Truck
395,217.04,6237.58,Truck
396,60.42,4355.53,Truck
397,161.4,5494.62,Truck
398,70.0,5615.98,Truck
399,217.49,6054.4,Truck
400,121.54,6278.03,Truck
401,89.16,7107.53,Truck
402,138.57,6691.24,Truck
403,163.03,7067.38,Truck
404,158.1,4873.49,Truck
405,64.54,4768.82,Truck
406,235.01,5574.79,Truck
407,62.56,5573.25,Truck
408,66.94,6663.71,Truck
409,256.49,4446.08,Truck
410,212.61,6426.08,Truck
411,107.43,5604.27,Truck
412,204.26,5475.54,Truck
413,125.69,6402.8,Truck
414,223.34,6338.83,Truck
415,136.28,7387.95,Truck
416,205.25,6059.54,Truck
417,257.44,6391.09,Truck
418,200.16,6155.94,Truck
419,174.57,5715.48,Truck
420,239.92,4977.3,Truck
421,208.61,4948.3,Truck
422,199.66,5379.21,Truck
423,176.71,5011.41,Truck
424,201.55,4421.79,Truck
425,254.38,5664.71,Truck
426,206.87,5327.07,Truck
427,69.88,4427.78,Truck
428,166.79,6066.04,Truck
429,182.27,4502.33,Truck
430,213.8,6937.09,Truck
431,139.34,4980.93,Truck
432,143.97,4495.77,Truck
433,190.48,5286.44,Truck
434,160.01,6059.19,Truck
435,207.78,5470.13,Truck
436,139.87,5689.68,Truck
437,142.13,5854.31,Truck
438,210.81,5512.89,Truck
439,111.05,6730.63,Truck
440,111.69,7141.6,Truck
441,226.41,7226.63,Truck
442,216.18,4509.26,Truck
443,241.21,4726.97,Truck
444,127.28,7127.05,Truck
445,128.79,5083.61,Truck
446,176.1,6282.55,Truck
447,165.56,6622.34,Truck
448,231.6,5808.24,Truck
449,225.26,5979.59,Truck
450,397.34,7299.95,EliteCar
451,349.84,5785.51,EliteCar
452,271.16,4513.79,EliteCar
453,377.23,5319.75,EliteCar
454,314.58,5109.31,EliteCar
455,453.81,6829.56,EliteCar
456,432.37,5445.96,EliteCar
457,446.99,5898.74,EliteCar
458,294.26,7372.54,EliteCar
459,355.29,6773.14,EliteCar
460,450.74,7464.75,EliteCar
461,341.71,7456.87,EliteCar
462,386.15,6006.47,EliteCar
463,320.58,5264.54,EliteCar
464,374.48,5156.75,EliteCar
465,374.24,5282.63,EliteCar
466,405.77,6031.14,EliteCar
467,357.06,5600.96,EliteCar
468,351.12,7140.92,EliteCar
469,338.6,6606.15,EliteCar
470,425.72,6178.73,EliteCar
471,456.8,5313.62,EliteCar
472,381.35,6813.24,EliteCar
473,455.2,6977.16,EliteCar
474,435.23,4509.38,EliteCar
475,386.24,6688.69,EliteCar
476,264.15,4848.7,EliteCar
477,400.5,4646.49,EliteCar
478,440.37,6185.88,EliteCar
479,422.46,6593.09,EliteCar
480,457.17,5717.95,EliteCar
481,328.51,5678.36,EliteCar
482,266.3,6979.49,EliteCar
483,299.35,5579.42,EliteCar
484,330.82,6609.87,EliteCar
485,324.15,7323.27,EliteCar
486,405.44,4722.29,EliteCar
487,451.17,7328.36,EliteCar
488,279.8,6688.07,EliteCar
489,450.57,5941.95,EliteCar
490,264.64,7013.47,EliteCar
491,458.7,7208.24,EliteCar
492,453.11,7211.54,EliteCar
493,343.68,6542.56,EliteCar
494,311.36,4740.84,EliteCar
495,372.64,6472.34,EliteCar
496,344.43,5180.85,EliteCar
497,383.38,5544.95,EliteCar
498,396.42,6401.97,EliteCar
499,293.12,6268.67,EliteCar
500,343.3,7283.32,EliteCar
501,355.62,4521.35,EliteCar
502,396.97,6464.01,EliteCar
503,429.69,4963.49,EliteCar
504,363.62,6011.85,EliteCar
505,285.08,4748.28,EliteCar
506,426.2,5418.04,EliteCar
507,420.51,5170.46,EliteCar
508,387.16,5933.74,EliteCar
509,410.09,5381.88,EliteCar
510,370.39,5831.92,EliteCar
511,309.41,4750.73,EliteCar
512,439.19,5418.87,EliteCar
513,385.66,5169.69,EliteCar
514,452.61,7001.82,EliteCar
515,424.3,4607.9,EliteCar
516,287.2,6139.62,EliteCar
517,322.25,5372.67,EliteCar
518,388.89,6258.89,EliteCar
519,395.05,4644.13,EliteCar
520,428.07,5869.99,EliteCar
521,435.18,5027.56,EliteCar
522,266.02,5605.16,EliteCar
523,382.1,6261.59,EliteCar
524,442.37,6779.35,EliteCar
525,254.57,5073.67,EliteCar
526,456.09,7127.94,EliteCar
527,327.63,5721.46,EliteCar
528,315.32,7274.97,EliteCar
529,309.06,5938.66,EliteCar
530,318.27,5072.8,EliteCar
531,406.41,7298.87,EliteCar
532,423.61,5432.47,EliteCar
533,281.97,6811.92,EliteCar
534,327.33,6726.76,EliteCar
535,346.98,7034.28,EliteCar
536,453.37,6948.63,EliteCar
537,359.57,5401.91,EliteCar
538,374.69,7033.44,EliteCar
539,444.46,7052.71,EliteCar
540,424.92,7236.35,EliteCar
541,287.16,6400.67,EliteCar
542,418.33,5719.61,EliteCar
543,384.75,4976.37,EliteCar
544,368.37,7322.89,EliteCar
545,402.75,7469.97,EliteCar
546,301.44,4843.46,EliteCar
547,417.23,7291.34,EliteCar
548,413.33,6251.75,EliteCar
549,433.98,4851.58,EliteCar
550,320.18,7134.28,EliteCar
551,298.46,5270.62,EliteCar
552,323.32,7376.91,EliteCar
553,434.64,4545.72,EliteCar
554,428.38,4828.15,EliteCar
555,366.55,6168.61,EliteCar
556,297.13,7135.79,EliteCar
557,377.01,5659.75,EliteCar
558,407.59,6708.27,EliteCar
559,254.48,6127.55,EliteCar
560,302.24,6640.35,EliteCar
561,454.27,4683.19,EliteCar
562,435.11,6678.87,EliteCar
563,418.74,5528.63,EliteCar
564,454.2,7244.45,EliteCar
565,389.11,6306.84,EliteCar
566,381.79,4898.1,EliteCar
567,450.38,4673.97,EliteCar
568,284.38,4721.74,EliteCar
569,347.54,7419.57,EliteCar
570,419.23,4889.33,EliteCar
571,427.02,4601.06,EliteCar
572,459.05,6723.87,EliteCar
573,337.85,7014.54,EliteCar
574,276.77,6609.08,EliteCar
575,459.82,6395.25,EliteCar
576,330.48,7011.37,EliteCar
577,355.74,5843.77,EliteCar
578,347.37,5111.36,EliteCar
579,319.09,6650.44,EliteCar
580,459.39,5071.7,EliteCar
581,274.95,4529.19,EliteCar
582,401.82,7088.58,EliteCar
583,324.1,7349.06,EliteCar
584,418.4,7477.04,EliteCar
585,434.01,6985.28,EliteCar
586,310.46,7167.34,EliteCar
587,285.3,4639.83,EliteCar
588,364.95,5922.75,EliteCar
589,308.08,5233.41,EliteCar
590,449.09,5355.89,EliteCar
591,262.91,7295.59,EliteCar
592,310.18,7426.95,EliteCar
593,357.73,7411.72,EliteCar
594,263.22,6037.0,EliteCar
595,353.13,5113.95,EliteCar
596,456.6,6665.1,EliteCar
597,269.96,4750.39,EliteCar
598,362.82,6951.75,EliteCar
599,452.2,6792.62,EliteCar
