,Power,Acceleration,Mass,MaxSpeed
88,397.49,8.12,4230.42,167.6
89,332.46,8.69,3385.57,160.2
90,405.56,8.11,5009.42,148.4
91,478.78,8.34,2824.1499999999996,249.1
92,469.44,9.04,3448.12,226.4
93,395.78,9.87,1398.6599999999999,250.1
94,322.26,8.99,2635.58,177.2
95,461.37,9.38,2571.51,247.9
96,372.15,11.2,4239.8099999999995,154.7
97,382.24,13.28,3457.89,182.6
98,237.82,8.39,2349.59,143.8
99,517.17,10.21,2219.87,286.1
100,314.62,10.83,1842.6599999999999,196.7
101,417.22,14.26,1999.5100000000002,242.9
102,323.17,13.73,1930.1800000000003,198.3
103,444.35,9.75,4114.0599999999995,194.3
104,326.75,6.98,2648.7,179.2
105,292.78,12.42,2843.1099999999997,156.4
106,542.33,8.03,3067.06,273.6
107,329.52,8.05,2828.01,175.2
108,514.34,8.6,2791.12,268.0
109,393.98,10.96,2816.8,207.3
110,348.13,11.26,3246.89,172.0
111,355.27,8.09,3357.44,172.4
112,463.64,9.43,3110.73,233.4
113,377.37,9.59,1903.6099999999997,226.1
114,454.8,9.85,4410.48,190.6
115,409.7,8.72,3759.96,187.5
116,390.16,10.66,1988.5200000000004,229.8
117,421.1,12.21,1450.4799999999996,261.0
118,587.41,8.51,4062.91,266.5
119,419.27,8.26,838.5600000000004,278.0
120,452.99,9.26,2712.5299999999997,239.8
121,375.17,12.43,3119.69,189.2
122,523.64,9.04,3064.14,264.4
123,125.33,10.24,3610.83,50.9
124,467.77,10.18,3926.73,211.4
125,474.22,11.13,2747.6099999999997,249.3
126,340.88,9.56,2112.33,201.8
127,398.38,7.52,2205.12,227.6
128,475.1,9.45,4324.75,203.4
129,387.51,14.51,2674.2200000000003,208.6
130,307.27,8.88,4262.1900000000005,121.9
131,409.57,7.33,3822.89,185.5
132,250.29,8.2,2608.74,142.3
133,371.01,6.37,3841.53,165.8
134,538.84,12.23,3459.25,260.2
135,259.68,10.75,1981.4899999999998,165.4
136,518.74,10.13,3047.15,262.6
137,261.13,8.17,2598.04,148.0
138,451.36,10.34,3441.91,217.3
139,413.45,11.77,4018.6,181.8
140,303.99,9.5,2689.0699999999997,166.4
141,493.95,10.55,3522.59,236.2
142,538.87,10.74,3087.19,271.3
143,453.02,9.7,4455.15,188.5
144,245.21,10.74,1088.5200000000004,184.6
145,353.91,7.95,2830.2700000000004,187.0
146,453.45,8.05,1899.3900000000003,264.1
147,304.82,6.71,3543.04,141.9
148,359.73,6.44,4060.93,153.7
149,517.81,11.98,1093.6800000000003,319.5
150,548.35,12.71,2543.6800000000003,292.0
151,453.12,8.23,895.5900000000001,293.1
152,442.11,8.31,1744.46,262.8
153,569.61,15.72,4277.07,251.5
154,309.18,6.39,3402.75,148.1
155,306.0,12.82,2241.8100000000004,180.6
156,508.86,11.01,3761.35,236.5
157,238.95,7.7,2857.7799999999997,129.6
158,353.2,9.37,4777.02,129.6
159,522.12,13.46,2697.6499999999996,274.4
160,335.13,12.25,3351.1,162.4
161,247.01,8.38,4177.16,94.8
162,569.28,9.55,4185.15,254.1
163,375.52,11.28,3057.69,191.1
164,430.37,10.2,2760.88,227.1
165,372.35,10.15,2160.0,216.0
166,290.76,9.32,3198.37,145.1
167,467.25,8.54,4127.35,205.3
168,452.29,7.45,2876.04,234.5
169,324.19,13.44,2241.45,189.8
170,342.29,10.14,3977.07,147.7
171,562.25,13.2,2751.8,292.7
172,376.08,12.59,2669.6099999999997,202.8
173,408.16,9.87,1459.75,254.3
174,528.7,6.83,1592.2399999999998,310.2
175,400.93,9.22,2709.9700000000003,213.9
176,482.11,8.3,1455.0600000000004,291.1
177,544.35,6.7,1837.42,310.8
178,362.05,7.15,3176.31,181.0
179,528.02,10.14,2768.9399999999996,275.2
180,325.05,10.58,3910.91,141.1
181,573.93,8.27,2853.21,295.4
182,343.16,14.23,4028.99,146.6
183,258.46,11.64,2848.0,139.5
184,397.75,8.52,1927.17,235.4
185,597.5,10.85,4126.84,269.8
186,377.91,10.64,3746.87,172.0
187,417.18,6.99,2174.8599999999997,237.7
188,381.8,13.05,779.1899999999996,261.2
189,326.32,12.71,3828.78,144.2
190,583.46,6.24,3016.76,295.4
191,464.37,11.45,4597.13,189.9
192,655.39,11.33,3079.7,329.4
193,465.75,9.78,2912.6,240.3
194,464.98,8.73,4012.27,207.4
195,479.42,9.03,3967.93,216.0
196,335.25,10.83,2718.12,181.3
197,445.24,10.86,4571.05,181.3
198,360.65,9.86,3315.6,176.1
199,419.03,10.29,2515.08,228.6
200,491.78,8.81,3419.36,238.2
201,282.32,12.05,3100.94,143.7
202,312.02,7.93,2120.9799999999996,187.2
203,300.48,9.05,4266.5,118.6
204,455.07,9.43,2812.2299999999996,237.9
205,412.97,12.36,1967.1099999999997,241.7
206,293.64,11.61,1423.0900000000001,198.7
207,451.22,9.04,4085.9,198.6
208,556.23,7.11,4676.43,233.2
209,295.82,7.08,4470.8099999999995,110.2
210,561.97,9.9,1512.42,329.0
211,429.03,11.8,1790.2700000000004,255.0
212,440.88,9.37,4721.3,174.5
213,437.31,13.01,4606.67,176.2
214,382.95,10.4,2430.75,213.2
215,448.56,7.1,3306.23,220.1
216,293.74,13.04,2804.4399999999996,157.9
217,404.92,8.28,3008.49,207.1
218,500.66,11.63,3013.36,254.3
219,472.41,11.19,4858.12,186.3
220,432.85,6.43,4266.889999999999,184.0
221,320.02,9.95,3029.07,164.5
222,444.94,9.7,3231.27,220.4
223,322.92,12.08,2170.26,191.3
224,490.36,9.51,2036.6400000000003,278.2
225,225.9,11.03,4318.46,79.8
226,495.43,7.31,3185.26,247.0
227,380.39,11.77,1449.88,240.9
228,575.74,8.68,2245.05,314.3
229,373.04,13.0,2526.46,205.6
230,252.72,10.23,3083.63,129.5
231,485.34,10.75,2793.4399999999996,253.3
232,325.17,11.0,2569.9300000000003,180.4
233,139.1,6.14,2983.62,76.1
234,487.92,8.95,3741.8,226.7
235,301.82,9.64,3471.63,142.3
236,466.53,11.39,4294.98,199.8
237,241.79,15.1,2835.1400000000003,131.4
238,285.66,11.85,4673.2,99.2
239,482.02,8.72,1830.9799999999996,279.9
240,378.85,7.56,3572.97,177.6
241,388.91,10.57,2265.8900000000003,221.2
242,223.28,8.59,4030.88,87.0
243,553.18,11.96,4630.26,233.1
244,409.0,7.94,1330.83,258.6
245,288.19,9.28,2892.88,152.7
246,518.23,10.04,3556.05,247.1
247,323.82,9.5,2941.91,169.0
248,625.98,12.05,2038.6099999999997,345.3
249,308.52,10.65,1779.6899999999996,195.5
250,481.73,7.14,3643.9,226.6
251,494.58,8.85,2869.87,255.7
252,341.95,13.01,3472.15,162.4
253,342.85,12.2,2272.3,198.0
254,461.01,9.31,3768.27,212.7
255,352.05,9.46,3757.15,159.1
256,370.74,13.22,2358.01,209.4
257,257.34,7.84,1844.4099999999999,168.5
258,228.11,8.9,2855.1899999999996,124.1
259,397.97,13.93,2764.9300000000003,210.8
260,303.35,10.66,3332.38,147.3
261,352.09,9.8,4586.17,134.8
262,287.45,9.5,2409.5600000000004,166.6
263,397.46,6.19,3786.32,180.7
264,439.1,12.01,4149.4,190.6
265,457.3,8.73,3983.93,204.4
266,363.33,12.36,2040.4300000000003,215.1
267,395.49,5.45,2809.42,208.3
268,413.68,9.14,3861.64,186.6
269,411.63,14.62,4173.139999999999,176.2
270,342.33,10.16,3648.75,157.5
271,347.43,10.61,1730.8000000000002,216.0
272,355.01,10.61,4399.09,141.5
273,486.79,8.3,3376.17,237.1
274,417.1,10.47,1433.1599999999999,259.3
275,248.72,10.09,944.3900000000003,190.5
276,396.84,10.91,2898.1099999999997,206.5
277,338.48,6.23,1135.2700000000004,229.3
278,409.94,7.53,3470.85,196.0
279,381.76,8.47,4396.59,154.8
280,261.7,7.62,3680.74,116.4
281,329.12,8.16,3569.11,153.1
282,344.49,8.45,2572.8999999999996,190.0
283,475.23,8.96,2309.7700000000004,262.4
284,368.27,11.62,2728.55,197.3
285,477.52,5.64,1670.3599999999997,282.4
286,445.72,12.29,3648.67,208.6
287,451.55,11.35,1692.5299999999997,268.9
288,588.8,9.62,3116.86,295.0
289,423.5,7.89,3432.37,204.0
290,414.34,10.61,3984.3,183.1
291,495.1,10.22,4002.9,222.7
292,440.8,12.74,1976.96,255.4
293,326.47,10.45,3248.85,161.1
294,466.59,7.46,2851.2299999999996,242.5
295,389.65,8.9,2005.6999999999998,229.1
296,455.37,8.78,4044.78,201.8
297,383.4,9.17,3433.22,184.0
298,434.85,10.94,1600.9300000000003,263.2
299,476.83,9.96,3749.75,220.9
300,290.39,10.43,3831.23,126.3
301,405.1,10.63,2245.46,229.6
302,268.82,9.0,2447.7299999999996,156.1
303,525.52,9.82,4889.530000000001,211.6
304,425.9,10.38,1137.2200000000003,272.4
305,450.66,12.39,3330.57,220.4
306,421.99,10.65,3124.05,212.5
307,446.93,7.79,3500.25,213.4
308,326.19,11.39,3813.14,144.6
309,667.84,10.86,2905.78,340.5
310,416.25,13.03,2304.6000000000004,233.6
311,393.89,10.15,3350.9,191.6
312,335.55,8.28,4113.969999999999,140.3
313,445.78,11.28,2214.16,250.8
314,335.27,10.84,4124.57,139.6
315,257.52,11.31,2279.08,155.6
316,477.39,13.45,3823.47,219.2
317,554.84,8.5,1764.5600000000004,318.0
318,331.87,13.3,3103.58,168.4
319,356.51,10.27,1533.5100000000002,226.6
320,508.38,9.6,3888.07,232.6
321,500.32,13.12,3924.75,227.6
322,427.05,10.73,4560.59,172.5
323,382.23,10.74,4076.19,164.6
324,191.09,11.36,3343.01,91.3
325,499.96,14.84,2573.54,267.2
326,392.36,9.0,2467.59,217.0
327,621.65,7.11,1841.7600000000002,348.8
328,374.23,9.59,2994.37,192.4
329,303.48,7.71,2923.59,159.4
330,402.52,11.61,3593.93,188.9
331,543.89,12.17,1715.4700000000003,314.1
332,270.95,8.63,1302.9700000000003,190.8
333,354.09,14.09,4249.139999999999,145.7
334,532.01,9.14,599.7200000000003,340.8
335,436.55,12.59,2987.57,223.4
336,520.81,11.26,3160.64,260.3
337,234.71,10.67,2720.34,131.3
338,489.34,11.16,2070.01,276.6
339,491.69,8.72,2723.1000000000004,258.5
340,165.68,9.95,3286.72,80.4
341,336.46,9.9,2581.4300000000003,186.0
342,460.8,14.74,1625.3999999999996,275.6
343,359.88,10.64,4565.34,139.4
344,313.41,2.52,1989.21,191.9
345,316.84,9.07,3539.03,148.0
346,457.06,9.7,3163.0,228.6
347,512.66,8.33,5881.34,176.1
348,207.69,8.59,3699.51,89.2
349,308.06,7.35,4161.3099999999995,125.4
350,388.1,10.26,1936.54,230.4
351,341.19,7.14,3874.36,150.3
352,407.0,12.94,2751.5699999999997,215.7
353,638.68,8.12,2705.01,331.9
354,365.86,11.08,2736.9300000000003,195.7
355,642.2,7.51,2238.12,347.4
356,530.92,11.15,3826.47,245.7
357,662.24,11.75,2469.01,350.7
358,625.53,9.54,3937.62,289.1
359,500.47,11.17,2969.92,255.6
360,292.81,10.64,3023.35,151.3
361,442.16,9.34,3380.79,214.8
362,520.22,10.57,4166.7,230.3
363,470.12,11.87,2470.0,255.5
364,528.83,13.33,2684.38,278.0
365,456.5,9.97,1495.3999999999996,277.2
366,488.75,10.68,2149.79,273.9
367,449.11,10.67,1729.79,266.8
368,248.04,8.65,3236.81,122.7
369,395.35,8.87,2352.26,221.5
370,583.8,13.88,3432.45,283.3
371,295.89,10.03,3478.45,139.6
372,355.98,9.62,4058.23,152.1
373,297.32,9.1,2791.37,160.3
374,534.13,9.69,2930.2,273.6
375,491.21,8.08,5451.78,178.2
376,378.77,9.41,3811.06,170.6
377,281.37,8.23,3101.73,143.1
378,415.64,9.05,1610.3900000000003,253.6
379,498.38,6.6,4416.84,212.1
380,388.07,8.09,2466.99,214.8
381,384.75,11.24,4221.57,161.6
382,400.83,11.28,3268.59,197.6
383,354.15,17.56,3674.07,162.5
384,314.4,14.57,2279.09,183.8
385,521.35,10.0,3155.66,260.7
386,375.08,10.27,3294.13,184.0
387,304.79,12.13,1168.42,211.6
388,353.68,9.27,2526.1800000000003,195.9
389,328.98,11.22,3766.06,147.2
390,488.23,8.86,1342.7299999999996,297.3
391,518.11,8.87,4042.98,232.9
392,587.73,14.16,2795.88,304.1
393,533.98,10.69,3994.85,242.0
394,396.54,8.87,4430.01,160.9
395,362.44,12.67,4826.74,132.7
396,557.61,12.26,3078.66,280.6
397,368.25,12.03,4939.92,132.3
398,306.9,11.49,3634.57,140.3
399,638.98,8.13,3345.31,313.3
400,587.26,11.41,3073.16,295.6
401,517.95,10.13,3778.02,240.7
402,288.72,11.71,2921.73,152.2
403,273.53,8.46,2124.1499999999996,168.3
404,440.79,11.72,4283.37,187.6
405,335.49,11.46,1283.42,223.5
406,476.15,10.7,3677.73,223.0
407,421.05,7.51,3163.87,210.6
408,409.97,13.1,3835.54,185.6
409,194.39,11.81,607.5699999999997,173.4
410,449.07,6.04,3957.66,201.0
411,440.06,12.95,2473.9300000000003,240.4
412,373.02,11.33,2812.0,197.1
413,199.76,12.67,4237.8099999999995,69.5
414,324.49,12.54,3647.17,148.5
415,424.72,11.32,2743.3500000000004,224.8
416,332.26,7.99,4916.96,115.1
417,371.13,6.94,3387.02,179.3
418,273.86,11.11,1943.21,173.6
419,429.98,14.63,2890.0600000000004,223.0
420,261.81,9.73,1420.7700000000004,182.9
421,448.93,6.73,3301.94,220.3
422,273.49,11.77,3788.48,119.1
423,394.58,10.97,4343.110000000001,163.0
424,322.14,9.22,3136.56,162.3
425,287.61,12.29,4466.52,106.3
426,451.05,12.48,3435.32,217.5
427,423.91,10.85,3219.28,210.4
428,307.75,11.47,4150.02,125.4
429,173.27,10.17,4374.45,52.3
430,417.23,10.93,3805.28,189.9
431,464.56,10.86,1620.6499999999996,277.5
432,410.4,9.43,1959.8500000000004,240.9
433,559.31,9.54,4728.37,233.1
434,523.76,9.78,2710.1499999999996,275.0
435,670.97,11.96,1364.5299999999997,387.4
436,417.0,10.34,4173.6900000000005,178.9
437,495.18,9.43,3445.72,239.0
438,238.57,9.2,4224.63,89.0
439,469.92,9.88,3112.31,236.3
440,260.15,9.44,2328.9300000000003,155.2
441,515.8,9.18,3027.79,261.7
442,515.84,9.39,4622.389999999999,214.8
443,260.18,10.92,3269.4,127.9
444,521.6,7.18,2939.49,267.0
445,421.67,10.21,3485.09,201.7
446,443.75,11.36,3481.48,212.4
447,357.84,4.02,2708.3,192.6
448,458.58,12.48,3006.36,233.8
449,350.03,17.23,2959.73,181.2
450,465.81,10.97,4045.76,207.0
451,567.43,11.79,4829.59,234.2
452,353.61,5.67,2720.3999999999996,190.4
453,417.45,10.46,2286.0299999999997,234.7
454,404.96,8.58,2059.63,235.1
455,361.59,10.56,3603.66,168.3
456,484.83,12.17,4973.87,188.9
457,420.1,7.17,3489.67,200.4
458,394.38,10.3,2376.74,220.7
459,360.96,11.48,1998.7700000000004,215.0
460,455.16,10.03,3801.78,208.8
461,384.75,11.17,1883.75,230.6
462,459.05,7.26,2441.91,250.5
463,391.4,9.49,2742.88,208.3
464,479.81,8.55,1274.7600000000002,295.4
465,488.2,8.56,2447.01,265.0
466,395.56,10.92,2530.76,216.4
467,173.23,7.57,748.4399999999996,158.9
468,450.1,14.27,3637.34,211.1
469,142.97,8.46,2334.54,97.1
470,359.09,10.41,2924.26,186.8
471,372.26,11.48,2558.1000000000004,204.2
472,433.59,9.31,4128.29,188.4
473,293.95,13.11,2380.0200000000004,170.6
474,367.62,9.42,4405.98,147.6
475,366.99,12.74,4764.6,136.7
476,494.5,7.33,2088.0699999999997,278.7
477,354.44,5.97,1598.25,223.7
478,413.98,7.65,1484.8599999999997,256.4
479,380.38,6.26,1440.75,241.1
480,314.95,11.76,2518.3900000000003,177.2
481,507.67,8.48,3606.12,240.6
482,335.79,11.11,2213.7299999999996,196.2
483,276.44,10.03,3361.28,133.1
484,569.28,11.46,2622.5600000000004,300.0
485,444.13,7.28,2573.46,239.3
486,268.71,9.47,3453.35,126.7
487,236.19,11.34,3331.12,114.0
488,489.07,8.52,4585.719999999999,202.6
489,507.41,8.52,3673.57,238.4
490,521.09,7.12,3148.15,260.6
491,271.22,8.22,3379.48,129.9
492,175.0,8.47,3161.96,88.7
493,325.68,9.0,3174.51,163.0
494,423.64,6.88,4052.13,185.7
495,268.05,6.85,3720.58,118.6
496,406.03,12.43,3750.01,185.9
497,246.37,12.54,2565.21,141.5
498,301.46,11.18,4326.25,117.1
499,418.99,10.16,2490.8599999999997,229.3
