,AverageBookRating,AverageReaderAge,BooksPublished,Revenue
86,1.1,54.2,59.0,113486.34
87,1.9,40.6,42.0,85588.05
88,0.9,34.4,58.0,116446.16
89,1.1,26.4,55.0,108671.92
90,2.3,55.7,50.0,101764.21
91,1.8,56.7,45.0,95354.65
92,2.3,40.5,53.0,104158.47
93,1.6,43.2,53.0,108370.05
94,1.3,35.3,43.0,89955.08
95,2.9,28.1,49.0,100170.43
96,1.2,57.7,47.0,96524.28
97,1.0,37.5,60.0,116836.35
98,1.0,39.8,56.0,111639.23
99,1.9,57.8,46.0,95765.11
100,1.7,43.4,52.0,103468.16
101,1.7,28.7,36.0,77967.87
102,2.5,39.1,49.0,100065.6
103,2.3,29.1,32.0,71229.49
104,1.4,12.2,38.0,81564.67
105,1.2,42.3,58.0,114469.56
106,2.0,30.4,51.0,103981.08
107,2.0,40.1,45.0,91021.09
108,2.2,49.4,51.0,101855.89
109,2.0,38.3,39.0,83923.95
110,1.9,32.3,44.0,91464.05
111,3.0,33.7,56.0,111585.56
112,1.3,34.6,33.0,73816.31
113,1.7,46.0,34.0,74646.98
114,2.1,32.0,70.0,132811.16
115,2.1,36.1,54.0,107573.05
116,1.7,37.7,48.0,97289.62
117,1.0,49.4,61.0,119027.3
118,2.8,19.7,73.0,137678.2
119,1.6,36.8,51.0,103600.17
120,1.5,33.2,44.0,92556.4
121,1.8,18.3,27.0,64360.42
122,1.5,38.6,56.0,110337.05
123,1.9,59.0,55.0,109255.43
124,2.4,19.4,50.0,100309.53
125,1.8,31.3,39.0,84750.76
126,1.8,31.3,44.0,91942.98
127,3.0,27.8,48.0,96012.49
128,1.4,35.7,37.0,78848.27
129,1.7,29.1,50.0,101014.63
130,1.8,41.5,35.0,77489.47
131,1.9,47.0,56.0,112894.63
132,2.0,29.7,32.0,72621.63
133,2.0,39.0,57.0,112785.07
134,2.7,40.7,48.0,96469.32
135,2.0,29.6,53.0,105035.67
136,1.9,54.4,38.0,82387.83
137,1.7,33.3,65.0,123753.57
138,1.8,39.5,46.0,95562.0
139,2.1,49.8,70.0,132019.74
140,1.9,40.4,38.0,81699.54
141,2.0,35.4,56.0,110539.83
142,1.4,46.0,52.0,104307.92
143,1.7,46.0,62.0,118529.43
144,2.3,31.5,37.0,79361.99
145,2.3,28.5,32.0,74081.72
146,1.3,39.1,61.0,119300.53
147,1.4,27.3,50.0,98883.18
148,1.2,34.2,49.0,98567.26
149,2.4,16.9,48.0,99190.82
150,2.3,18.0,35.0,77280.73
151,2.2,38.1,44.0,90599.98
152,1.8,26.2,46.0,94089.0
153,2.5,54.4,34.0,75146.91
154,1.8,50.2,53.0,104893.0
155,1.9,36.0,44.0,92268.65
156,1.7,28.4,50.0,102208.3
157,1.8,43.0,28.0,67244.39
158,1.5,31.4,55.0,108575.03
159,2.8,34.2,48.0,99377.95
160,0.8,31.5,53.0,105684.52
161,1.7,41.5,39.0,81978.84
162,2.0,15.7,36.0,76670.35
163,1.5,38.4,54.0,107727.97
164,2.5,32.7,57.0,113525.87
165,1.5,24.5,51.0,102770.57
166,2.6,21.9,46.0,91506.3
167,1.5,38.9,38.0,81434.51
168,1.6,15.6,46.0,95977.97
169,2.0,12.8,51.0,102922.04
170,2.5,41.4,46.0,94482.77
171,2.8,29.5,67.0,128865.73
172,2.0,4.5,52.0,105108.91
173,2.8,26.0,47.0,95074.5
174,1.6,35.9,34.0,74542.44
175,2.5,47.9,46.0,94660.3
176,1.7,19.9,53.0,104209.95
177,1.3,31.0,49.0,99861.91
178,2.2,43.9,52.0,102671.17
179,1.2,45.6,62.0,121843.74
180,2.5,27.1,43.0,89904.15
181,2.4,34.9,48.0,96387.62
182,1.4,41.2,60.0,117394.96
183,2.0,50.4,16.0,44551.62
184,1.7,40.0,61.0,119333.5
185,2.0,33.4,47.0,95970.09
186,2.0,21.2,24.0,59493.97
187,2.1,32.4,54.0,107083.96
188,1.1,47.9,49.0,102788.89
189,2.3,24.8,44.0,89833.53
190,2.1,30.2,54.0,106239.66
191,2.5,29.5,53.0,105602.01
192,1.9,37.5,38.0,81779.25
193,1.8,35.6,32.0,72903.26
194,1.9,37.4,47.0,94744.37
195,1.4,36.7,52.0,103984.33
196,2.2,29.9,30.0,67541.06
197,1.7,40.4,41.0,85354.08
198,2.2,20.0,49.0,99746.83
199,1.8,24.1,66.0,128772.19
200,2.0,43.4,27.0,63726.06
201,2.4,37.4,54.0,107387.94
202,2.1,26.7,59.0,117104.73
203,2.8,43.5,63.0,122389.86
204,1.6,35.4,52.0,102392.99
205,1.6,40.1,57.0,111377.65
206,0.9,55.2,48.0,97198.28
207,1.1,40.1,22.0,54430.9
208,1.4,37.8,57.0,111302.44
209,0.7,31.3,53.0,103932.43
210,1.3,26.2,36.0,78380.7
211,2.5,33.6,66.0,127000.36
212,2.3,32.7,49.0,100889.62
213,2.2,27.7,47.0,95335.07
214,2.9,40.3,39.0,84718.19
215,1.8,47.6,31.0,69738.38
216,2.3,31.4,50.0,99862.66
217,0.3,25.8,61.0,117856.16
218,2.5,46.4,46.0,92085.32
219,1.6,32.6,48.0,98908.01
220,1.3,34.7,35.0,74734.73
221,2.0,52.5,30.0,67725.32
222,2.1,32.2,36.0,79485.25
223,1.9,37.9,38.0,80140.39
224,2.6,44.2,46.0,92399.81
225,2.1,33.8,38.0,83028.42
226,2.6,33.7,67.0,130570.47
227,1.7,24.6,66.0,125435.26
228,1.6,29.6,44.0,89871.79
229,2.3,20.6,52.0,105293.38
230,2.3,36.2,59.0,116968.62
231,2.0,31.4,42.0,88194.39
232,2.3,54.1,51.0,101897.8
233,2.5,38.0,50.0,103916.81
234,1.2,35.8,47.0,96234.77
235,1.8,21.6,61.0,121449.81
236,1.7,43.9,66.0,127976.47
237,2.6,45.7,36.0,78951.8
238,2.7,43.5,59.0,115482.62
239,2.5,36.8,38.0,79922.79
240,2.4,34.2,61.0,119004.1
241,2.4,39.1,42.0,86482.15
242,1.2,59.4,45.0,93221.76
243,1.7,26.7,57.0,112665.93
244,1.3,23.9,48.0,97694.0
245,1.1,34.7,33.0,73717.55
246,2.2,45.4,52.0,105745.91
247,2.6,45.0,33.0,73526.39
248,1.3,37.1,65.0,126786.68
249,1.9,29.3,41.0,87351.05
250,2.5,38.0,37.0,79687.11
251,1.6,36.0,67.0,129984.41
252,2.1,36.4,39.0,83661.38
253,2.5,58.5,38.0,81317.8
254,3.0,17.5,58.0,114376.72
255,1.9,36.8,42.0,89758.56
256,2.3,41.4,51.0,103766.15
257,1.1,32.6,49.0,101673.86
258,2.4,43.3,46.0,92894.82
259,1.1,41.2,53.0,106265.37
260,2.2,40.1,55.0,108816.1
261,1.9,41.1,40.0,85944.44
262,2.4,37.8,56.0,109475.06
263,1.2,31.0,50.0,101255.23
264,1.2,17.7,71.0,134440.24
265,1.7,42.3,56.0,113157.27
266,1.5,24.0,47.0,95176.84
267,1.9,31.8,27.0,63134.14
268,1.9,30.8,50.0,99531.62
269,1.8,36.0,67.0,128147.89
270,2.2,28.7,48.0,99294.63
271,1.4,57.9,43.0,89325.79
272,2.8,24.4,68.0,129714.31
273,2.3,26.8,52.0,105911.45
274,1.6,40.4,39.0,81255.05
275,2.4,31.2,51.0,102086.96
276,1.5,26.1,38.0,80730.09
277,2.7,25.7,45.0,92577.31
278,0.7,33.8,44.0,93484.06
279,2.3,14.8,47.0,96828.21
280,2.1,24.3,50.0,101905.11
281,2.2,28.8,51.0,100334.65
282,2.1,31.8,47.0,96153.25
283,1.3,30.1,59.0,115917.4
284,0.9,44.8,38.0,81880.13
285,1.4,47.1,56.0,111608.7
286,1.9,32.4,44.0,90119.37
287,1.9,42.1,48.0,97224.02
288,1.8,32.1,45.0,93318.77
289,1.8,38.2,37.0,77451.29
290,1.9,37.9,70.0,132673.14
291,1.3,32.6,47.0,97035.97
292,2.2,43.5,48.0,99544.43
293,2.5,35.6,41.0,84762.92
294,1.9,41.6,56.0,111673.51
295,2.1,38.5,46.0,94199.28
296,1.6,43.2,46.0,94460.19
297,2.3,21.0,48.0,97451.95
298,1.7,16.2,44.0,92477.05
299,2.1,50.8,54.0,108171.95
300,1.6,63.8,43.0,90823.04
301,2.2,40.9,54.0,107726.17
302,2.0,37.7,46.0,95146.16
303,2.7,44.8,32.0,72619.65
304,2.0,38.6,39.0,84964.84
305,1.9,32.1,33.0,74054.86
306,2.1,21.5,49.0,97599.64
307,1.8,30.3,49.0,98508.32
308,1.5,29.5,49.0,101372.52
309,1.6,46.1,49.0,98969.4
310,2.4,35.0,49.0,100785.98
311,1.8,24.6,32.0,73042.47
312,1.8,16.0,39.0,83591.48
313,2.1,40.0,58.0,113981.56
314,2.5,40.2,43.0,90441.96
315,2.7,39.8,50.0,101526.44
316,2.5,20.9,56.0,109837.03
317,2.5,27.9,41.0,87950.4
318,1.4,43.1,51.0,103992.62
319,1.5,37.8,55.0,109067.92
320,2.3,27.7,58.0,113303.03
321,2.1,31.4,54.0,109073.4
322,2.6,26.5,50.0,102663.96
323,2.3,27.8,50.0,100696.4
324,2.2,29.2,31.0,68282.91
325,1.7,51.3,55.0,111272.45
326,1.6,40.7,57.0,112618.34
327,1.9,41.8,44.0,93629.04
328,1.8,41.8,49.0,98836.55
329,2.6,45.9,55.0,108459.42
330,2.2,26.9,38.0,83503.65
331,1.9,31.6,42.0,90117.7
332,0.7,43.0,65.0,126328.12
333,2.5,11.6,44.0,90961.53
334,1.2,39.8,62.0,121105.89
335,2.0,23.1,45.0,91740.43
336,2.6,33.6,24.0,59087.88
337,2.0,27.2,47.0,98628.3
338,2.1,39.2,44.0,92785.57
339,2.1,32.9,47.0,95903.25
340,2.1,23.1,49.0,98408.86
341,2.1,26.5,45.0,91902.97
342,2.3,47.3,44.0,91146.33
343,2.4,38.4,55.0,110294.44
344,2.3,35.8,49.0,99433.16
345,2.0,32.8,55.0,109593.25
346,2.0,21.8,50.0,100655.04
347,3.2,39.6,56.0,111871.39
348,3.1,67.5,31.0,69453.06
349,2.3,23.6,50.0,100389.82
350,1.7,34.4,28.0,64604.1
351,2.1,45.5,61.0,118014.32
352,1.7,33.6,49.0,97107.76
353,2.1,31.4,57.0,111269.02
354,2.4,15.2,50.0,102969.51
355,1.7,32.8,32.0,71466.76
356,1.7,42.7,64.0,122764.95
357,2.0,38.4,51.0,101624.51
358,1.1,24.4,44.0,92471.47
359,2.4,41.5,52.0,102650.14
360,2.0,41.6,29.0,65387.23
361,1.7,31.0,32.0,70421.09
362,2.7,42.2,32.0,72654.58
363,1.6,32.7,42.0,88132.49
364,2.3,36.3,51.0,103815.55
365,2.2,46.1,46.0,93645.35
366,2.1,24.3,35.0,76923.53
367,2.0,34.3,31.0,68157.66
368,2.8,22.2,51.0,103011.61
369,2.3,25.8,51.0,104472.47
370,1.6,12.7,54.0,106215.74
371,2.5,35.0,62.0,119906.17
372,1.2,34.7,42.0,89022.1
373,2.7,40.8,45.0,92156.51
374,1.4,40.2,61.0,117996.66
375,2.0,35.9,51.0,102291.02
376,2.7,33.8,51.0,100859.24
377,2.2,33.1,68.0,128115.43
378,2.3,40.3,48.0,95831.34
379,2.4,30.5,49.0,98705.46
380,2.7,28.2,57.0,112358.01
381,3.0,35.2,47.0,94636.73
382,2.4,29.7,46.0,95899.18
383,1.4,10.4,55.0,109447.05
384,1.6,36.2,51.0,103478.79
385,1.2,39.6,31.0,70612.71
386,2.0,37.7,67.0,129199.54
387,2.1,25.0,61.0,118791.6
388,2.8,36.2,44.0,92022.67
389,2.2,32.8,55.0,108395.01
390,1.9,60.4,38.0,80700.52
391,1.2,29.5,39.0,84680.99
392,2.1,41.8,53.0,107271.53
393,2.6,36.7,54.0,107516.46
394,2.3,49.7,52.0,103714.95
395,1.0,35.5,31.0,69291.49
396,1.9,37.7,38.0,79769.12
397,1.9,32.4,48.0,95751.47
398,2.8,29.0,52.0,104052.49
399,2.3,25.1,58.0,113590.21
400,1.0,29.9,48.0,97932.81
401,2.1,14.3,57.0,112096.14
402,1.3,29.7,42.0,87528.01
403,2.0,27.7,35.0,76794.83
404,2.0,10.0,60.0,116964.27
405,2.5,29.8,52.0,100477.32
406,2.8,27.0,43.0,89513.51
407,2.0,29.0,53.0,105981.83
408,1.6,20.4,45.0,93066.12
409,2.1,34.8,46.0,94930.47
410,2.3,17.3,42.0,86235.72
411,1.7,38.8,46.0,94369.53
412,2.5,41.0,52.0,104239.81
413,1.7,31.7,40.0,85031.98
414,2.8,41.6,58.0,114229.39
415,1.9,37.9,62.0,118943.97
416,2.5,39.0,49.0,100507.49
417,2.1,43.9,62.0,120360.07
418,1.8,45.0,50.0,102656.56
419,1.5,42.0,42.0,86784.75
420,2.2,44.8,44.0,92555.09
421,2.3,36.2,46.0,94353.39
422,2.5,20.4,62.0,120124.27
423,2.0,27.5,60.0,115266.47
424,2.4,35.4,53.0,106376.61
425,1.9,8.6,49.0,98678.58
426,1.5,34.1,50.0,101667.5
427,1.9,32.4,39.0,82287.51
428,2.2,43.9,60.0,116846.39
429,1.7,32.5,43.0,90106.47
430,1.8,22.9,79.0,148419.19
431,2.5,39.9,45.0,91598.86
432,1.5,23.7,58.0,114275.38
433,0.9,63.1,54.0,108364.35
434,1.7,34.7,52.0,104943.36
435,2.3,36.4,64.0,124235.54
436,1.9,34.1,34.0,75331.92
437,3.0,31.8,48.0,97966.62
438,2.0,31.6,54.0,108116.7
439,2.7,37.1,55.0,108294.84
440,1.7,45.8,46.0,94584.59
441,1.5,46.4,57.0,113725.56
442,1.6,32.2,49.0,97420.79
443,2.0,24.4,62.0,117896.18
444,2.5,30.0,61.0,116571.32
445,2.2,35.2,47.0,94705.8
446,2.4,36.7,68.0,129284.82
447,1.6,32.0,33.0,74070.32
448,2.2,25.4,49.0,99881.22
449,2.7,45.9,37.0,81171.76
450,1.3,41.7,58.0,113475.33
451,2.7,21.4,67.0,129162.98
452,1.9,37.3,45.0,92348.05
453,2.7,62.3,54.0,105843.58
454,2.1,42.9,58.0,114947.38
455,1.4,24.8,44.0,92715.82
456,2.8,43.0,66.0,125389.91
457,1.7,39.2,39.0,82517.59
458,2.6,30.4,58.0,113877.53
459,1.8,25.3,46.0,95739.28
460,1.9,26.6,56.0,111305.41
461,2.0,46.4,59.0,116053.92
462,3.2,32.1,61.0,119175.91
463,0.8,46.6,86.0,160177.56
464,2.6,27.3,42.0,88296.01
465,2.5,42.0,68.0,127736.1
466,2.1,30.1,56.0,111493.93
467,1.6,25.5,58.0,113543.15
468,1.9,17.8,45.0,91874.97
469,1.8,31.6,53.0,105991.32
470,2.2,25.0,47.0,96779.04
471,2.7,32.6,48.0,99126.32
472,2.1,22.3,44.0,91927.95
473,2.1,31.1,49.0,99794.18
474,2.4,35.9,50.0,101629.13
475,2.8,32.4,65.0,125506.21
476,1.8,39.1,58.0,114358.79
477,2.5,33.7,44.0,93205.69
478,1.5,32.9,53.0,105247.86
479,1.5,36.1,52.0,103599.19
480,2.1,37.0,47.0,95862.57
481,2.4,20.7,45.0,92948.2
482,1.4,36.8,53.0,107298.4
483,2.6,39.9,55.0,109889.31
484,2.6,29.8,53.0,106472.22
485,1.6,40.7,45.0,92245.3
486,2.3,32.6,49.0,99562.34
487,1.8,35.1,48.0,98066.4
488,2.5,50.7,44.0,90484.33
489,1.7,36.6,56.0,111390.16
490,1.8,18.3,61.0,120585.99
491,2.3,38.8,63.0,122421.19
492,2.6,35.8,38.0,81602.35
493,2.3,30.7,43.0,92088.1
494,1.6,21.8,45.0,93402.31
495,2.3,36.2,59.0,114807.1
496,2.9,32.0,76.0,142953.82
497,1.7,31.7,58.0,114688.09
498,1.7,30.0,67.0,130388.24
499,1.5,57.5,59.0,113841.67
