,LandValue,SubwayDistance,RoomsNumber,Price
64,47.6,7.7,2.0,384611.27
65,59.3,9.9,3.0,522017.68
66,55.2,6.6,3.0,560690.42
67,44.9,8.8,3.0,441661.83
68,43.4,11.8,4.0,432752.52
69,41.0,10.6,4.0,437546.24
70,58.6,9.1,3.0,554560.63
71,43.8,9.3,4.0,478837.21
72,50.8,11.8,3.0,454862.92
73,34.3,11.7,3.0,344692.95
74,65.1,7.1,3.0,547589.03
75,34.9,6.5,3.0,433452.95
76,53.0,9.9,3.0,478444.38
77,66.7,6.6,2.0,555046.27
78,44.4,9.1,3.0,401986.5
79,58.2,12.9,2.0,387968.02
80,39.9,8.1,2.0,291653.0
81,70.0,10.5,3.0,612138.52
82,29.7,11.4,3.0,253874.23
83,62.5,15.6,4.0,500977.78
84,38.9,11.4,3.0,362966.34
85,43.1,12.1,3.0,409513.55
86,37.9,11.0,3.0,357552.55
87,67.8,10.2,3.0,584761.23
88,61.4,11.5,3.0,540358.65
89,65.6,9.2,3.0,527102.82
90,47.4,7.3,3.0,439778.98
91,57.9,7.4,2.0,474168.92
92,52.9,9.9,4.0,526033.84
93,34.9,13.9,3.0,263603.45
94,54.2,3.7,4.0,661065.5
95,31.6,9.9,3.0,325675.08
96,67.4,4.9,3.0,635889.16
97,55.8,11.6,3.0,466633.05
98,57.3,8.9,3.0,486068.85
99,73.0,6.8,3.0,691008.83
100,42.7,13.6,3.0,350887.14
101,67.1,9.7,4.0,638118.33
102,38.4,12.4,3.0,325280.15
103,45.8,5.9,3.0,450153.08
104,48.5,7.4,2.0,405592.02
105,60.4,13.5,3.0,454357.51
106,63.4,6.5,4.0,738179.22
107,49.5,4.9,2.0,458054.57
108,46.9,6.8,3.0,452323.2
109,31.3,9.7,3.0,312898.54
110,32.4,11.2,3.0,291233.16
111,63.6,8.7,3.0,530869.02
112,65.4,13.4,3.0,496597.23
113,59.5,10.2,3.0,527889.52
114,52.7,7.5,3.0,529257.22
115,57.0,10.0,2.0,420612.21
116,54.4,9.1,2.0,371877.01
117,59.8,11.0,3.0,514857.84
118,72.2,10.6,2.0,488517.51
119,51.2,13.9,3.0,361558.12
120,44.5,11.3,3.0,340586.56
121,43.2,13.1,4.0,441754.3
122,50.0,14.6,3.0,406714.1
123,61.5,9.1,3.0,523895.6
124,35.0,9.4,3.0,289682.65
125,75.0,12.5,3.0,622596.64
126,32.2,6.3,3.0,344262.67
127,67.8,9.2,3.0,629501.93
128,41.4,9.5,2.0,282986.96
129,55.2,9.9,4.0,557052.55
130,51.2,14.2,4.0,438007.96
131,41.9,9.0,3.0,418658.14
132,55.1,7.3,3.0,468610.37
133,46.7,7.6,3.0,444428.69
134,52.7,11.7,3.0,450741.5
135,31.3,11.2,2.0,200560.35
136,45.0,8.4,4.0,489099.71
137,44.5,7.2,3.0,414671.19
138,63.5,15.4,3.0,471247.17
139,47.4,8.7,4.0,514298.86
140,39.8,4.8,3.0,491456.25
141,63.7,10.9,3.0,494895.33
142,48.0,10.6,3.0,402932.89
143,39.7,15.0,3.0,331143.43
144,62.7,7.3,4.0,658723.19
145,39.5,16.0,2.0,179224.12
146,52.5,2.5,2.0,499991.69
147,44.1,9.6,3.0,369224.98
148,60.7,14.8,2.0,373342.67
149,40.9,12.4,4.0,417371.33
150,43.4,14.2,4.0,476082.33
151,50.0,10.7,3.0,433248.37
152,53.0,13.6,2.0,335499.96
153,53.2,12.2,3.0,428420.65
154,24.7,8.2,3.0,295741.26
155,49.7,6.5,2.0,403127.63
156,49.0,9.7,4.0,570368.16
157,62.6,5.2,3.0,650617.8
158,58.4,9.3,3.0,493878.85
159,55.4,8.2,3.0,553849.83
160,61.0,9.0,3.0,584634.56
161,50.2,7.5,3.0,498925.32
162,50.7,12.4,3.0,412793.65
163,44.0,8.0,3.0,387730.09
164,54.0,9.5,3.0,467855.24
165,48.5,9.6,4.0,518516.43
166,36.7,12.9,4.0,434016.2
167,55.2,8.9,4.0,582992.96
168,56.1,11.1,3.0,460595.86
169,48.4,7.2,4.0,543285.08
170,49.1,5.9,2.0,436650.21
171,41.5,8.0,3.0,442002.1
172,31.5,15.8,3.0,180244.82
173,48.3,10.7,3.0,375508.93
174,46.7,10.8,3.0,406990.54
175,50.5,8.8,4.0,551360.89
176,21.6,13.1,2.0,52738.77
177,56.0,14.5,3.0,440167.36
178,48.4,7.4,2.0,396325.07
179,59.6,12.3,3.0,492420.96
180,54.7,9.4,4.0,587536.05
181,46.9,9.3,3.0,457223.52
182,48.6,15.0,4.0,479736.92
183,41.6,6.7,3.0,394472.63
184,46.0,6.4,3.0,456604.1
185,36.1,7.2,3.0,363399.15
186,56.4,13.0,3.0,385443.3
187,46.0,12.9,2.0,259476.62
188,57.5,8.4,3.0,551011.05
189,42.7,7.7,3.0,410266.96
190,40.8,11.5,3.0,328772.43
191,51.0,10.3,4.0,509682.96
192,52.0,8.9,3.0,418562.91
193,44.9,3.6,3.0,540020.24
194,47.7,12.4,3.0,406854.25
195,59.9,12.1,3.0,485110.15
196,38.4,13.0,3.0,345144.47
197,59.0,13.7,3.0,398804.34
198,61.4,18.1,4.0,486315.73
199,55.8,10.6,3.0,472068.16
200,43.3,11.4,3.0,374082.33
201,49.4,9.9,3.0,419003.57
202,69.7,9.5,3.0,590712.06
203,59.0,10.3,3.0,529431.25
204,57.1,10.0,3.0,473194.87
205,53.2,3.2,3.0,594037.9
206,55.3,11.1,3.0,423174.19
207,25.5,10.9,2.0,178204.0
208,39.2,10.0,3.0,390946.17
209,60.5,10.8,4.0,623297.42
210,47.4,11.3,3.0,415342.44
211,49.4,10.3,2.0,365872.19
212,51.3,1.1,4.0,646561.3
213,45.5,9.7,3.0,428300.79
214,61.6,9.9,2.0,448206.34
215,50.0,6.8,3.0,473633.37
216,41.7,10.2,3.0,387059.28
217,46.7,15.9,3.0,334183.9
218,48.4,9.1,3.0,391781.43
219,62.0,9.7,2.0,474008.62
220,54.1,9.6,2.0,365864.49
221,40.6,10.5,3.0,393787.07
222,33.5,10.2,2.0,257897.33
223,48.0,8.7,3.0,487877.56
224,54.6,9.2,4.0,573252.77
225,43.6,9.9,3.0,348631.65
226,25.7,7.6,4.0,371441.36
227,45.5,11.0,3.0,420161.66
228,31.3,8.5,3.0,368731.83
229,38.9,4.2,3.0,424471.83
230,31.5,8.2,3.0,381057.74
231,52.4,11.7,3.0,432015.02
232,51.0,8.0,3.0,438248.24
233,37.9,8.5,4.0,456438.33
234,67.4,9.3,3.0,578359.99
235,43.7,10.7,3.0,413108.99
236,54.7,11.5,3.0,448045.45
237,39.6,10.8,3.0,361825.63
238,58.0,11.0,3.0,499967.52
239,43.6,8.9,4.0,490259.94
240,46.2,11.9,4.0,440227.17
241,33.4,8.0,3.0,397298.27
242,60.5,14.5,2.0,355401.85
243,79.1,11.7,2.0,548521.46
244,51.2,5.3,2.0,459548.69
245,62.8,10.8,3.0,560433.83
246,30.0,11.7,3.0,247740.59
247,52.3,6.4,3.0,544291.52
248,72.2,13.1,3.0,568670.31
249,61.1,16.3,3.0,465763.23
250,51.0,7.2,4.0,548366.48
251,52.5,9.0,3.0,445955.23
252,45.7,15.4,3.0,272257.84
253,51.0,7.7,3.0,477891.59
254,33.7,11.4,3.0,251375.46
255,52.0,11.4,4.0,497680.01
256,57.0,10.1,2.0,396898.56
257,31.1,7.6,3.0,319950.9
258,50.4,13.8,2.0,308033.8
259,54.8,4.1,4.0,663570.12
260,38.9,12.4,3.0,278628.22
261,51.0,9.1,3.0,454600.5
262,40.5,10.8,4.0,421125.24
263,58.8,13.0,3.0,417992.86
264,42.0,8.6,3.0,442725.89
265,52.0,7.9,3.0,496677.05
266,62.5,15.1,4.0,516452.88
267,35.5,8.2,3.0,379914.24
268,54.7,6.9,3.0,515560.64
269,45.2,12.7,2.0,297428.24
270,41.1,10.8,3.0,328942.05
271,43.4,6.5,3.0,448137.43
272,59.7,9.2,3.0,506043.64
273,48.9,6.5,3.0,455915.75
274,57.1,4.5,3.0,540208.43
275,36.4,6.6,3.0,371113.8
276,62.3,13.7,3.0,468635.37
277,49.7,5.9,3.0,513212.18
278,46.1,11.0,3.0,428595.25
279,30.9,10.7,3.0,342902.75
280,45.3,9.1,3.0,444693.35
281,50.9,9.7,3.0,479409.68
282,52.1,9.7,3.0,498847.96
283,51.0,10.9,4.0,550952.66
284,51.9,13.7,3.0,433368.05
285,54.8,11.6,2.0,367532.66
286,70.9,11.9,2.0,498676.19
287,53.3,10.7,3.0,417157.84
288,65.9,11.3,3.0,531964.97
289,52.4,9.6,3.0,431756.96
290,70.5,6.1,3.0,647983.13
291,48.2,5.6,2.0,385545.74
292,50.1,6.8,3.0,450503.35
293,68.8,10.4,3.0,529149.85
294,57.0,12.4,3.0,494009.06
295,53.0,5.3,4.0,592145.3
296,52.9,5.9,3.0,480810.27
297,60.8,9.2,4.0,600062.52
298,69.4,11.1,3.0,530543.44
299,50.4,14.4,2.0,287439.82
300,58.6,7.1,3.0,534848.6
301,49.2,14.8,3.0,335143.84
302,39.7,10.6,3.0,385609.61
303,34.4,12.4,3.0,309016.74
304,37.8,12.5,4.0,370996.11
305,67.7,5.0,3.0,675687.27
306,41.9,12.4,3.0,338802.22
307,36.6,15.0,3.0,256765.91
308,47.2,7.3,2.0,380221.46
309,52.2,9.9,3.0,479716.75
310,53.3,9.4,3.0,433827.84
311,46.7,13.0,3.0,322590.32
312,49.4,8.4,3.0,491540.22
313,49.2,8.1,3.0,497544.88
314,48.4,9.8,3.0,426012.43
315,42.8,8.0,3.0,423351.06
316,58.4,12.9,3.0,442210.35
317,67.0,10.5,3.0,571907.38
318,77.8,14.1,3.0,575137.0
319,48.0,3.3,3.0,521487.9
320,53.0,10.5,3.0,433535.93
321,49.3,6.5,3.0,497011.34
322,50.7,6.6,3.0,467194.85
323,50.2,8.6,3.0,477198.55
324,46.9,6.3,2.0,394558.18
325,38.9,12.6,3.0,299701.74
326,44.4,8.4,5.0,606948.98
327,48.4,4.3,3.0,531381.14
328,41.7,6.1,3.0,415113.66
329,35.5,11.7,3.0,350886.95
330,39.9,8.9,3.0,378215.77
331,60.8,7.3,3.0,528805.0
332,56.2,6.0,3.0,530340.81
333,37.0,18.7,4.0,268247.9
334,70.8,11.4,4.0,622521.09
335,42.7,10.5,3.0,405592.33
336,58.5,9.3,1.0,340231.21
337,51.5,7.6,3.0,437967.21
338,62.0,9.5,3.0,514313.16
339,50.8,10.9,2.0,368993.21
340,53.3,10.1,3.0,480813.17
341,30.8,8.1,4.0,416209.91
342,49.1,15.2,3.0,372504.52
343,36.1,15.2,2.0,151805.47
344,57.9,7.0,2.0,452251.9
345,47.6,11.1,3.0,437556.43
346,51.9,12.0,3.0,431700.83
347,62.6,9.8,3.0,543110.35
348,46.4,7.2,4.0,562101.21
349,58.1,12.4,3.0,467837.06
350,53.9,7.0,3.0,543925.85
351,38.3,6.7,3.0,457109.76
352,46.0,9.9,2.0,351306.81
353,49.9,8.3,3.0,493574.32
354,66.8,12.6,4.0,577193.13
355,46.6,12.0,3.0,386337.72
356,65.3,6.7,3.0,559300.09
357,62.6,14.1,3.0,446541.49
358,42.3,12.3,3.0,301384.47
359,51.0,9.0,2.0,398299.34
360,57.3,10.3,3.0,489348.02
361,50.9,9.8,4.0,532897.05
362,40.4,9.7,3.0,410921.31
363,54.6,10.2,2.0,389902.95
364,69.5,7.4,3.0,598095.46
365,31.6,7.9,3.0,334995.15
366,54.7,9.1,3.0,467091.88
367,52.2,17.5,3.0,298796.39
368,27.8,6.7,3.0,288429.07
369,48.9,7.8,2.0,363192.83
370,42.9,11.6,3.0,314999.57
371,29.4,7.3,3.0,287005.9
372,51.4,15.7,2.0,298407.4
373,54.8,6.5,3.0,574823.79
374,47.6,12.2,4.0,479806.36
375,34.0,11.1,4.0,418850.77
376,59.4,10.1,3.0,494807.06
377,48.5,8.0,3.0,492321.5
378,26.1,8.4,4.0,351892.0
379,38.2,8.4,4.0,461492.81
380,52.2,12.6,3.0,371843.14
381,55.5,14.4,3.0,361061.8
382,30.8,7.0,2.0,277096.04
383,62.8,9.1,4.0,604492.53
384,56.9,9.8,2.0,378218.24
385,67.4,11.4,3.0,558109.37
386,37.7,7.8,3.0,424474.67
387,64.8,6.6,3.0,615784.25
388,48.4,12.7,2.0,330749.98
389,52.8,12.5,3.0,440901.67
390,43.7,8.5,3.0,421162.17
391,58.9,5.2,4.0,660361.91
392,51.1,6.3,4.0,576673.07
393,41.1,12.8,3.0,297468.13
394,64.2,8.6,3.0,588336.49
395,41.5,12.5,3.0,331693.04
396,44.0,13.2,3.0,311687.86
397,55.5,13.3,3.0,441395.52
398,42.3,16.9,3.0,248697.39
399,48.7,11.0,4.0,500001.62
400,51.4,12.3,3.0,368103.2
401,41.2,9.4,3.0,378799.51
402,51.6,4.2,3.0,490246.64
403,34.2,5.0,3.0,385905.57
404,47.8,14.7,3.0,337285.25
405,65.5,14.0,3.0,538992.24
406,55.5,14.9,3.0,432031.7
407,35.2,6.9,2.0,327647.68
408,62.6,11.4,3.0,462339.5
409,45.9,8.1,3.0,393004.95
410,62.3,10.7,3.0,512045.7
411,44.0,9.6,3.0,386336.98
412,65.2,12.0,2.0,435827.99
413,53.2,14.5,4.0,468564.93
414,49.5,8.2,4.0,549910.71
415,50.4,11.1,3.0,447225.17
416,56.2,11.5,3.0,464584.56
417,35.7,6.6,2.0,284591.68
418,47.8,9.4,2.0,324492.58
419,55.0,12.6,3.0,415214.59
420,47.0,7.2,3.0,444972.3
421,45.5,7.9,3.0,481970.64
422,61.4,9.4,2.0,460805.42
423,46.2,6.0,2.0,393303.39
424,51.0,10.9,3.0,447207.4
425,64.8,10.3,3.0,593520.54
426,43.3,6.7,3.0,433013.62
427,60.2,10.3,4.0,596842.99
428,54.3,3.9,4.0,679197.17
429,44.4,12.5,3.0,385753.7
430,50.4,14.5,3.0,366930.81
431,56.6,11.4,2.0,353933.03
432,45.2,12.4,3.0,314704.24
433,57.2,10.8,4.0,557050.02
434,46.7,10.3,3.0,420845.89
435,43.6,7.0,3.0,459429.74
436,64.9,14.3,4.0,561974.11
437,54.9,13.3,3.0,407588.57
438,48.6,7.2,3.0,433671.45
439,52.4,8.3,3.0,479474.59
440,41.6,9.4,2.0,318286.97
441,53.3,9.1,2.0,385332.77
442,47.3,11.4,3.0,435146.93
443,56.7,5.9,3.0,567393.55
444,39.1,11.2,4.0,400261.48
445,55.9,12.8,3.0,439455.51
446,29.6,6.8,3.0,352878.18
447,77.3,9.2,3.0,618242.19
448,54.8,14.0,4.0,476386.94
449,38.2,10.5,3.0,309719.72
450,39.6,2.5,4.0,570968.1
451,57.7,7.8,4.0,597766.88
452,43.1,7.9,2.0,328411.85
453,47.8,15.6,3.0,300469.31
454,51.3,10.5,3.0,423844.74
455,42.4,12.9,3.0,318064.47
456,42.3,10.4,2.0,310092.08
457,51.8,10.8,3.0,398334.75
458,48.7,14.3,3.0,389983.22
459,50.0,9.2,4.0,518197.44
460,58.8,11.1,3.0,483823.62
461,44.7,13.7,2.0,270048.1
462,16.2,11.1,3.0,228078.56
463,65.8,16.2,3.0,483830.48
464,36.3,8.4,3.0,390046.59
465,83.0,8.4,2.0,641409.53
466,55.7,9.9,3.0,533793.8
467,63.1,11.1,3.0,479304.24
468,54.3,8.4,3.0,505378.48
469,36.2,8.7,3.0,363783.75
470,59.1,9.2,3.0,492067.16
471,49.3,12.0,3.0,365192.49
472,64.6,12.8,3.0,459020.47
473,36.4,5.4,3.0,415267.41
474,46.4,8.2,3.0,457434.19
475,58.5,8.8,3.0,567776.34
476,42.0,10.2,3.0,364930.75
477,52.8,9.3,4.0,562858.49
478,58.1,11.7,3.0,438607.66
479,48.1,10.1,3.0,401677.95
480,54.0,8.7,3.0,490105.33
481,45.6,14.0,3.0,363675.2
482,45.0,10.5,4.0,459113.96
483,46.5,4.1,3.0,549428.72
484,32.7,12.9,4.0,368372.56
485,55.1,9.2,4.0,571848.79
486,32.7,2.7,2.0,353071.75
487,69.0,5.1,3.0,622771.7
488,38.7,11.6,3.0,290161.43
489,56.3,11.4,3.0,511385.06
490,55.5,6.0,3.0,562044.89
491,47.2,9.0,3.0,405128.62
492,55.2,12.6,2.0,349931.04
493,29.7,16.1,2.0,107047.99
494,35.8,8.7,3.0,396313.9
495,54.8,8.1,4.0,580559.26
496,57.7,9.3,3.0,485314.08
497,47.4,11.5,3.0,433489.97
498,56.3,16.9,3.0,356202.99
499,40.5,9.1,4.0,449891.52
