,Salary,WorkingAge
138,426.0,26.0
139,515.0,3.0
140,484.0,4.0
141,617.0,37.0
142,516.0,6.0
143,583.0,19.0
144,607.0,8.0
145,483.0,45.0
146,452.0,22.0
147,442.0,9.0
148,515.0,23.0
149,477.0,45.0
150,396.0,33.0
151,542.0,7.0
152,421.0,33.0
153,367.0,32.0
154,402.0,37.0
155,438.0,43.0
156,531.0,4.0
157,572.0,37.0
158,621.0,38.0
159,588.0,41.0
160,462.0,46.0
161,529.0,5.0
162,561.0,44.0
163,519.0,43.0
164,618.0,22.0
165,562.0,20.0
166,571.0,5.0
167,567.0,21.0
168,517.0,7.0
169,485.0,44.0
170,418.0,27.0
171,463.0,40.0
172,610.0,40.0
173,426.0,38.0
174,542.0,7.0
175,563.0,6.0
176,599.0,36.0
177,520.0,46.0
178,431.0,29.0
179,471.0,25.0
180,401.0,26.0
181,395.0,11.0
182,632.0,37.0
183,361.0,31.0
184,553.0,9.0
185,577.0,46.0
186,405.0,33.0
187,614.0,40.0
188,467.0,47.0
189,559.0,40.0
190,474.0,8.0
191,429.0,25.0
192,427.0,30.0
193,585.0,24.0
194,558.0,40.0
195,396.0,39.0
196,484.0,7.0
197,470.0,6.0
198,631.0,19.0
199,421.0,12.0
200,450.0,29.0
201,476.0,43.0
202,369.0,35.0
203,571.0,19.0
204,433.0,24.0
205,398.0,28.0
206,522.0,7.0
207,567.0,44.0
208,397.0,8.0
209,567.0,10.0
210,453.0,28.0
211,463.0,45.0
212,547.0,17.0
213,593.0,20.0
214,571.0,42.0
215,413.0,5.0
216,579.0,17.0
217,570.0,43.0
218,602.0,33.0
219,583.0,18.0
220,608.0,19.0
221,442.0,37.0
222,570.0,23.0
223,615.0,37.0
224,411.0,28.0
225,526.0,47.0
226,569.0,21.0
227,578.0,8.0
228,435.0,13.0
229,567.0,44.0
230,385.0,26.0
231,523.0,21.0
232,613.0,40.0
233,460.0,8.0
234,516.0,8.0
235,555.0,39.0
236,569.0,22.0
237,469.0,42.0
238,451.0,41.0
239,386.0,9.0
240,386.0,11.0
241,525.0,28.0
242,596.0,19.0
243,414.0,30.0
244,484.0,45.0
245,615.0,33.0
246,576.0,22.0
247,571.0,40.0
248,567.0,22.0
249,426.0,29.0
250,435.0,8.0
251,571.0,44.0
252,448.0,28.0
253,613.0,36.0
254,515.0,4.0
255,544.0,43.0
256,551.0,44.0
257,431.0,29.0
258,479.0,5.0
259,480.0,44.0
260,620.0,34.0
261,404.0,33.0
262,537.0,25.0
263,531.0,39.0
264,594.0,39.0
265,586.0,22.0
266,388.0,24.0
267,517.0,9.0
268,464.0,45.0
269,406.0,13.0
270,426.0,11.0
271,549.0,44.0
272,465.0,43.0
273,605.0,7.0
274,606.0,16.0
275,578.0,9.0
276,477.0,46.0
277,451.0,31.0
278,518.0,8.0
279,439.0,48.0
280,406.0,34.0
281,578.0,20.0
282,474.0,43.0
283,535.0,10.0
284,603.0,46.0
285,640.0,15.0
286,535.0,7.0
287,569.0,22.0
288,512.0,40.0
289,478.0,28.0
290,569.0,44.0
291,452.0,26.0
292,390.0,36.0
293,590.0,10.0
294,623.0,13.0
295,420.0,37.0
296,574.0,43.0
297,449.0,39.0
298,406.0,35.0
299,574.0,27.0
300,409.0,43.0
301,484.0,27.0
302,402.0,41.0
303,418.0,27.0
304,408.0,35.0
305,481.0,23.0
306,407.0,39.0
307,403.0,34.0
308,466.0,44.0
309,397.0,41.0
310,416.0,34.0
311,431.0,42.0
312,528.0,22.0
313,427.0,25.0
314,473.0,24.0
315,518.0,45.0
316,573.0,12.0
317,390.0,32.0
318,461.0,5.0
319,576.0,41.0
320,379.0,39.0
321,474.0,40.0
322,541.0,3.0
323,573.0,16.0
324,599.0,39.0
325,543.0,21.0
326,578.0,19.0
327,413.0,37.0
328,398.0,29.0
329,623.0,23.0
330,429.0,43.0
331,562.0,39.0
332,409.0,27.0
333,512.0,42.0
334,447.0,26.0
335,568.0,34.0
336,610.0,37.0
337,479.0,11.0
338,533.0,6.0
339,474.0,46.0
340,606.0,11.0
341,403.0,10.0
342,408.0,30.0
343,597.0,36.0
344,568.0,14.0
345,412.0,41.0
346,607.0,8.0
347,642.0,38.0
348,557.0,19.0
349,567.0,36.0
350,591.0,16.0
351,449.0,7.0
352,390.0,47.0
353,592.0,1.0
354,571.0,42.0
355,564.0,41.0
356,588.0,11.0
357,413.0,33.0
358,535.0,24.0
359,428.0,33.0
360,474.0,28.0
361,603.0,40.0
362,489.0,48.0
363,419.0,28.0
364,488.0,44.0
365,435.0,46.0
366,632.0,20.0
367,422.0,40.0
368,536.0,24.0
369,519.0,48.0
370,541.0,45.0
371,517.0,43.0
372,428.0,40.0
373,519.0,7.0
374,531.0,26.0
375,532.0,4.0
376,398.0,34.0
377,431.0,42.0
378,564.0,10.0
379,425.0,40.0
380,420.0,27.0
381,412.0,30.0
382,577.0,44.0
383,404.0,26.0
384,542.0,11.0
385,568.0,27.0
386,419.0,32.0
387,559.0,8.0
388,570.0,22.0
389,487.0,28.0
390,406.0,35.0
391,418.0,5.0
392,378.0,33.0
393,435.0,36.0
394,545.0,24.0
395,450.0,25.0
396,525.0,5.0
397,432.0,28.0
398,513.0,47.0
399,447.0,40.0
400,414.0,40.0
401,615.0,38.0
402,397.0,43.0
403,382.0,14.0
404,608.0,40.0
405,524.0,21.0
406,524.0,8.0
407,585.0,8.0
408,396.0,31.0
409,585.0,42.0
410,475.0,47.0
411,545.0,9.0
412,572.0,15.0
413,486.0,25.0
414,389.0,35.0
415,539.0,41.0
416,427.0,32.0
417,413.0,30.0
418,422.0,9.0
419,618.0,6.0
420,399.0,26.0
421,511.0,42.0
422,453.0,42.0
423,424.0,37.0
424,587.0,39.0
425,467.0,44.0
426,426.0,11.0
427,406.0,34.0
428,408.0,34.0
429,431.0,42.0
430,460.0,7.0
431,597.0,15.0
432,444.0,38.0
433,596.0,20.0
434,347.0,35.0
435,384.0,11.0
436,408.0,30.0
437,457.0,25.0
438,485.0,27.0
439,547.0,24.0
440,601.0,19.0
441,523.0,23.0
442,618.0,13.0
443,435.0,29.0
444,405.0,41.0
445,377.0,14.0
446,479.0,9.0
447,605.0,11.0
448,397.0,36.0
449,464.0,33.0
450,516.0,42.0
451,470.0,51.0
452,563.0,12.0
453,628.0,9.0
454,596.0,14.0
455,522.0,46.0
456,413.0,35.0
457,465.0,10.0
458,588.0,5.0
459,603.0,39.0
460,628.0,46.0
461,567.0,7.0
462,484.0,25.0
463,597.0,19.0
464,475.0,42.0
465,447.0,42.0
466,579.0,40.0
467,538.0,47.0
468,475.0,8.0
469,386.0,27.0
470,584.0,7.0
471,352.0,7.0
472,583.0,20.0
473,589.0,36.0
474,396.0,38.0
475,554.0,8.0
476,410.0,39.0
477,632.0,38.0
478,431.0,43.0
479,625.0,17.0
480,560.0,23.0
481,403.0,35.0
482,422.0,14.0
483,452.0,43.0
484,538.0,7.0
485,420.0,37.0
486,557.0,23.0
487,449.0,26.0
488,544.0,29.0
489,588.0,11.0
490,398.0,30.0
491,456.0,31.0
492,449.0,42.0
493,462.0,26.0
494,487.0,25.0
495,597.0,22.0
496,558.0,49.0
497,589.0,23.0
498,408.0,33.0
499,595.0,42.0
500,567.0,24.0
501,401.0,36.0
502,400.0,43.0
503,531.0,26.0
504,533.0,45.0
505,608.0,47.0
506,467.0,45.0
507,385.0,12.0
508,610.0,12.0
509,528.0,22.0
510,542.0,44.0
511,578.0,7.0
512,401.0,28.0
513,533.0,22.0
514,517.0,27.0
515,411.0,8.0
516,539.0,45.0
517,580.0,37.0
518,521.0,44.0
519,386.0,31.0
520,437.0,28.0
521,415.0,41.0
522,484.0,7.0
523,401.0,10.0
524,576.0,6.0
525,483.0,2.0
526,464.0,47.0
527,550.0,48.0
528,538.0,27.0
529,559.0,17.0
530,446.0,24.0
531,618.0,6.0
532,613.0,37.0
533,424.0,38.0
534,550.0,24.0
535,410.0,10.0
536,617.0,14.0
537,431.0,42.0
538,406.0,12.0
539,618.0,10.0
540,569.0,40.0
541,574.0,41.0
542,542.0,38.0
543,381.0,41.0
544,483.0,21.0
545,422.0,39.0
546,540.0,7.0
547,499.0,-1.0
548,583.0,45.0
549,531.0,6.0
550,602.0,32.0
551,563.0,23.0
552,472.0,22.0
553,392.0,39.0
554,407.0,39.0
555,447.0,7.0
556,407.0,18.0
557,528.0,25.0
558,478.0,42.0
559,485.0,29.0
560,457.0,24.0
561,443.0,6.0
562,616.0,9.0
563,601.0,38.0
564,398.0,12.0
565,429.0,27.0
566,533.0,41.0
567,411.0,26.0
568,479.0,44.0
569,622.0,14.0
570,622.0,13.0
571,512.0,24.0
572,596.0,43.0
573,539.0,48.0
574,475.0,48.0
575,469.0,3.0
576,447.0,26.0
577,515.0,28.0
578,557.0,5.0
579,461.0,44.0
580,469.0,22.0
581,433.0,26.0
582,533.0,23.0
583,586.0,37.0
584,412.0,28.0
585,570.0,9.0
586,572.0,13.0
587,582.0,12.0
588,626.0,41.0
589,599.0,8.0
590,398.0,12.0
591,470.0,25.0
592,573.0,22.0
593,513.0,25.0
594,566.0,39.0
595,635.0,10.0
596,408.0,37.0
597,453.0,7.0
598,483.0,46.0
599,562.0,26.0
600,587.0,42.0
601,466.0,45.0
602,402.0,43.0
603,537.0,49.0
604,427.0,28.0
605,564.0,42.0
606,538.0,31.0
607,567.0,41.0
608,571.0,20.0
609,533.0,23.0
610,613.0,20.0
611,396.0,30.0
612,526.0,22.0
613,471.0,29.0
614,524.0,25.0
615,628.0,14.0
616,400.0,10.0
617,592.0,17.0
618,549.0,11.0
619,579.0,14.0
620,565.0,3.0
621,569.0,25.0
622,504.0,49.0
623,487.0,3.0
624,458.0,6.0
625,456.0,45.0
626,628.0,36.0
627,357.0,16.0
628,456.0,8.0
629,547.0,6.0
630,405.0,40.0
631,574.0,43.0
632,536.0,40.0
633,567.0,19.0
634,548.0,8.0
635,545.0,7.0
636,415.0,32.0
637,567.0,16.0
638,560.0,23.0
639,523.0,43.0
640,607.0,15.0
641,528.0,27.0
642,376.0,18.0
643,436.0,8.0
644,392.0,31.0
645,559.0,10.0
646,385.0,8.0
647,399.0,36.0
648,431.0,44.0
649,593.0,15.0
650,556.0,48.0
651,518.0,9.0
652,550.0,42.0
653,483.0,24.0
654,447.0,25.0
655,611.0,37.0
656,482.0,51.0
657,393.0,42.0
658,522.0,44.0
659,440.0,25.0
660,555.0,5.0
661,562.0,21.0
662,368.0,34.0
663,532.0,46.0
664,460.0,26.0
665,609.0,18.0
666,407.0,30.0
667,435.0,48.0
668,395.0,32.0
669,632.0,19.0
670,405.0,41.0
671,519.0,39.0
672,556.0,42.0
673,570.0,42.0
674,546.0,39.0
675,416.0,11.0
676,411.0,39.0
677,513.0,8.0
678,592.0,37.0
679,591.0,12.0
680,575.0,18.0
681,601.0,39.0
682,624.0,22.0
683,436.0,40.0
684,478.0,7.0
685,575.0,48.0
686,573.0,23.0
687,406.0,36.0
688,407.0,39.0
689,398.0,38.0
690,578.0,18.0
691,455.0,44.0
692,453.0,28.0
693,579.0,20.0
694,388.0,39.0
695,525.0,25.0
696,616.0,13.0
697,410.0,8.0
698,551.0,22.0
699,522.0,4.0
700,477.0,45.0
701,581.0,37.0
702,417.0,6.0
703,514.0,23.0
704,469.0,45.0
705,408.0,9.0
706,410.0,35.0
707,540.0,45.0
708,397.0,12.0
709,532.0,42.0
710,601.0,41.0
711,524.0,24.0
712,484.0,4.0
713,468.0,9.0
714,574.0,23.0
715,511.0,25.0
716,398.0,41.0
717,383.0,34.0
718,523.0,4.0
719,390.0,34.0
720,457.0,48.0
721,538.0,5.0
722,590.0,16.0
723,560.0,15.0
724,561.0,5.0
725,647.0,16.0
726,423.0,42.0
727,474.0,26.0
728,527.0,44.0
729,585.0,40.0
730,440.0,28.0
731,571.0,24.0
732,586.0,19.0
733,593.0,14.0
734,602.0,40.0
735,616.0,12.0
736,602.0,21.0
737,449.0,9.0
738,518.0,7.0
739,567.0,36.0
740,638.0,38.0
741,578.0,29.0
742,558.0,41.0
743,421.0,40.0
744,386.0,11.0
745,586.0,42.0
746,592.0,46.0
747,442.0,42.0
748,575.0,36.0
749,584.0,6.0
750,573.0,36.0
751,558.0,21.0
752,630.0,12.0
753,575.0,43.0
754,570.0,44.0
755,398.0,30.0
756,614.0,35.0
757,401.0,35.0
758,364.0,41.0
759,405.0,43.0
760,398.0,10.0
761,537.0,7.0
762,475.0,5.0
763,602.0,37.0
764,546.0,20.0
765,514.0,5.0
766,523.0,1.0
767,553.0,23.0
768,609.0,36.0
769,378.0,34.0
770,440.0,30.0
771,528.0,27.0
772,416.0,33.0
773,557.0,45.0
774,577.0,8.0
775,509.0,2.0
776,465.0,5.0
777,381.0,32.0
778,381.0,40.0
779,410.0,46.0
780,484.0,28.0
781,530.0,7.0
782,470.0,43.0
783,385.0,26.0
784,571.0,22.0
785,580.0,18.0
786,581.0,18.0
787,402.0,27.0
788,569.0,43.0
789,520.0,45.0
790,588.0,24.0
791,387.0,14.0
792,539.0,21.0
793,485.0,44.0
794,473.0,26.0
795,450.0,44.0
796,576.0,42.0
797,382.0,11.0
798,413.0,30.0
799,548.0,38.0
800,519.0,6.0
801,594.0,18.0
802,570.0,39.0
803,603.0,37.0
804,395.0,27.0
805,531.0,43.0
806,453.0,29.0
807,432.0,24.0
808,579.0,19.0
809,572.0,47.0
810,587.0,27.0
811,554.0,19.0
812,458.0,47.0
813,563.0,43.0
814,579.0,39.0
815,453.0,8.0
816,597.0,11.0
817,620.0,17.0
818,438.0,28.0
819,444.0,30.0
820,447.0,-0.0
821,576.0,21.0
822,523.0,48.0
823,420.0,38.0
824,418.0,7.0
825,411.0,44.0
826,543.0,10.0
827,513.0,7.0
828,482.0,44.0
829,487.0,21.0
830,451.0,41.0
831,560.0,20.0
832,582.0,17.0
833,520.0,4.0
834,448.0,7.0
835,576.0,41.0
836,479.0,48.0
837,404.0,45.0
838,522.0,4.0
839,584.0,37.0
840,547.0,8.0
841,488.0,45.0
842,619.0,22.0
843,482.0,28.0
844,603.0,41.0
845,540.0,25.0
846,410.0,43.0
847,385.0,36.0
848,554.0,35.0
849,429.0,35.0
850,393.0,31.0
851,476.0,24.0
852,568.0,9.0
853,620.0,15.0
854,451.0,27.0
855,547.0,27.0
856,448.0,39.0
857,581.0,15.0
858,460.0,41.0
859,391.0,34.0
860,595.0,21.0
861,559.0,43.0
862,389.0,37.0
863,592.0,13.0
864,538.0,26.0
865,531.0,5.0
866,563.0,18.0
867,491.0,49.0
868,377.0,36.0
869,426.0,27.0
870,387.0,39.0
871,524.0,26.0
872,632.0,11.0
873,423.0,7.0
874,403.0,31.0
875,435.0,41.0
876,635.0,14.0
877,581.0,41.0
878,435.0,4.0
879,431.0,5.0
880,466.0,23.0
881,413.0,43.0
882,610.0,38.0
883,468.0,48.0
884,515.0,49.0
885,526.0,24.0
886,512.0,25.0
887,361.0,35.0
888,451.0,28.0
889,543.0,27.0
890,487.0,25.0
891,574.0,9.0
892,582.0,16.0
893,449.0,27.0
894,391.0,16.0
895,434.0,2.0
896,419.0,42.0
897,384.0,15.0
898,584.0,12.0
899,407.0,28.0
900,390.0,8.0
901,379.0,35.0
902,543.0,28.0
903,525.0,25.0
904,542.0,8.0
905,529.0,27.0
906,481.0,25.0
907,598.0,17.0
908,594.0,34.0
909,528.0,5.0
910,472.0,46.0
911,579.0,38.0
912,459.0,45.0
913,458.0,24.0
914,456.0,31.0
915,595.0,14.0
916,397.0,27.0
917,587.0,23.0
918,480.0,47.0
919,462.0,43.0
920,568.0,4.0
921,615.0,23.0
922,411.0,31.0
923,597.0,18.0
924,602.0,34.0
925,426.0,36.0
926,451.0,6.0
927,511.0,25.0
928,450.0,41.0
929,570.0,26.0
930,642.0,15.0
931,422.0,25.0
932,371.0,33.0
933,539.0,25.0
934,420.0,11.0
935,388.0,27.0
936,569.0,26.0
937,435.0,9.0
938,369.0,36.0
939,589.0,13.0
940,518.0,26.0
941,614.0,8.0
942,549.0,4.0
943,400.0,37.0
944,609.0,37.0
945,421.0,40.0
946,562.0,25.0
947,370.0,31.0
948,426.0,37.0
949,589.0,15.0
950,516.0,2.0
951,616.0,17.0
952,470.0,26.0
953,543.0,30.0
954,395.0,37.0
955,445.0,25.0
956,381.0,33.0
957,426.0,9.0
958,452.0,5.0
959,608.0,39.0
960,582.0,47.0
961,598.0,14.0
962,436.0,6.0
963,605.0,9.0
964,513.0,6.0
965,583.0,45.0
966,590.0,18.0
967,554.0,46.0
968,488.0,12.0
969,485.0,9.0
970,519.0,24.0
971,433.0,30.0
972,415.0,10.0
973,576.0,36.0
974,582.0,11.0
975,514.0,21.0
976,448.0,5.0
977,437.0,35.0
978,523.0,4.0
979,603.0,18.0
980,515.0,23.0
981,513.0,21.0
982,562.0,39.0
983,405.0,33.0
984,437.0,42.0
985,447.0,28.0
986,434.0,8.0
987,594.0,22.0
988,427.0,36.0
989,597.0,12.0
990,475.0,23.0
991,472.0,4.0
992,612.0,38.0
993,523.0,25.0
994,384.0,36.0
995,484.0,7.0
996,457.0,2.0
997,409.0,12.0
998,587.0,7.0
999,447.0,3.0
1000,578.0,16.0
1001,609.0,11.0
1002,579.0,21.0
1003,599.0,14.0
1004,443.0,44.0
1005,581.0,27.0
1006,432.0,10.0
1007,565.0,40.0
1008,606.0,19.0
1009,585.0,22.0
1010,611.0,14.0
1011,516.0,28.0
1012,534.0,45.0
1013,459.0,25.0
1014,578.0,27.0
1015,534.0,6.0
1016,409.0,30.0
1017,463.0,22.0
1018,373.0,34.0
1019,440.0,42.0
1020,533.0,2.0
1021,439.0,25.0
1022,630.0,8.0
1023,421.0,33.0
1024,619.0,37.0
1025,410.0,10.0
1026,433.0,6.0
1027,442.0,13.0
1028,421.0,11.0
1029,406.0,37.0
1030,541.0,9.0
1031,581.0,3.0
1032,617.0,17.0
1033,546.0,6.0
1034,612.0,21.0
1035,440.0,40.0
1036,618.0,21.0
1037,457.0,26.0
1038,616.0,40.0
1039,378.0,39.0
1040,395.0,41.0
1041,545.0,6.0
1042,463.0,6.0
1043,607.0,42.0
1044,584.0,43.0
1045,426.0,9.0
1046,412.0,43.0
1047,444.0,40.0
1048,404.0,11.0
1049,407.0,11.0
1050,416.0,30.0
1051,533.0,25.0
1052,644.0,12.0
1053,590.0,14.0
1054,456.0,28.0
1055,453.0,5.0
1056,376.0,11.0
1057,472.0,3.0
1058,465.0,25.0
1059,439.0,11.0
1060,480.0,26.0
1061,412.0,28.0
1062,440.0,32.0
1063,590.0,10.0
1064,546.0,25.0
1065,431.0,31.0
1066,415.0,41.0
1067,544.0,6.0
1068,599.0,18.0
1069,547.0,37.0
1070,400.0,2.0
1071,577.0,39.0
1072,429.0,37.0
1073,435.0,7.0
1074,462.0,42.0
1075,423.0,38.0
1076,571.0,5.0
1077,629.0,39.0
1078,575.0,20.0
1079,470.0,27.0
1080,615.0,41.0
1081,592.0,14.0
1082,589.0,42.0
1083,564.0,19.0
1084,427.0,40.0
1085,399.0,11.0
1086,524.0,7.0
1087,513.0,5.0
1088,547.0,45.0
1089,407.0,27.0
1090,542.0,45.0
1091,594.0,39.0
1092,535.0,5.0
1093,599.0,39.0
1094,522.0,43.0
1095,596.0,38.0
1096,544.0,40.0
1097,463.0,30.0
1098,446.0,29.0
1099,416.0,39.0
1100,580.0,13.0
1101,540.0,42.0
1102,414.0,14.0
1103,407.0,42.0
1104,430.0,15.0
1105,394.0,14.0
1106,527.0,23.0
1107,616.0,15.0
1108,561.0,12.0
1109,479.0,6.0
1110,440.0,8.0
1111,476.0,43.0
1112,366.0,37.0
1113,450.0,45.0
1114,482.0,44.0
1115,547.0,4.0
1116,423.0,36.0
1117,472.0,3.0
1118,483.0,2.0
1119,597.0,14.0
1120,442.0,10.0
1121,519.0,6.0
1122,577.0,9.0
1123,562.0,7.0
1124,397.0,10.0
1125,380.0,12.0
1126,524.0,40.0
1127,411.0,26.0
1128,591.0,20.0
1129,519.0,7.0
1130,442.0,46.0
1131,595.0,15.0
1132,410.0,36.0
1133,421.0,26.0
1134,562.0,24.0
1135,396.0,38.0
1136,399.0,9.0
1137,549.0,6.0
1138,443.0,41.0
1139,543.0,23.0
1140,364.0,39.0
1141,571.0,5.0
1142,581.0,14.0
1143,572.0,20.0
1144,593.0,43.0
1145,410.0,42.0
1146,486.0,25.0
1147,625.0,42.0
1148,589.0,41.0
1149,597.0,42.0
1150,424.0,42.0
1151,483.0,5.0
1152,431.0,9.0
1153,382.0,16.0
1154,568.0,12.0
1155,544.0,43.0
1156,429.0,38.0
1157,554.0,7.0
1158,562.0,26.0
1159,564.0,5.0
1160,532.0,26.0
1161,397.0,25.0
1162,400.0,46.0
1163,566.0,13.0
1164,481.0,24.0
1165,577.0,11.0
1166,586.0,21.0
1167,455.0,9.0
1168,534.0,8.0
1169,412.0,12.0
1170,605.0,37.0
1171,601.0,34.0
1172,543.0,43.0
1173,608.0,19.0
1174,480.0,42.0
1175,517.0,8.0
1176,555.0,4.0
1177,566.0,44.0
1178,552.0,42.0
1179,479.0,3.0
1180,616.0,21.0
1181,548.0,15.0
1182,446.0,8.0
1183,562.0,10.0
1184,560.0,25.0
1185,487.0,7.0
1186,591.0,20.0
1187,574.0,11.0
1188,578.0,39.0
1189,395.0,10.0
1190,588.0,20.0
1191,393.0,16.0
1192,532.0,5.0
1193,471.0,44.0
1194,561.0,44.0
1195,581.0,7.0
1196,536.0,22.0
1197,604.0,20.0
1198,575.0,19.0
1199,473.0,6.0
1200,599.0,35.0
1201,476.0,6.0
1202,564.0,11.0
1203,474.0,25.0
1204,388.0,14.0
1205,597.0,14.0
1206,426.0,9.0
1207,408.0,13.0
1208,562.0,46.0
1209,449.0,26.0
1210,538.0,6.0
1211,546.0,9.0
1212,423.0,32.0
1213,405.0,25.0
1214,447.0,43.0
1215,484.0,42.0
1216,383.0,9.0
1217,514.0,41.0
1218,605.0,12.0
1219,586.0,18.0
1220,444.0,28.0
1221,368.0,11.0
1222,465.0,26.0
1223,444.0,28.0
1224,411.0,28.0
1225,598.0,11.0
1226,453.0,29.0
1227,424.0,12.0
1228,603.0,35.0
1229,572.0,22.0
1230,582.0,16.0
1231,553.0,39.0
1232,617.0,9.0
1233,520.0,45.0
1234,486.0,9.0
1235,489.0,23.0
1236,552.0,10.0
1237,576.0,42.0
1238,545.0,41.0
1239,426.0,7.0
1240,636.0,15.0
1241,464.0,5.0
1242,614.0,10.0
1243,549.0,22.0
1244,538.0,7.0
1245,372.0,29.0
1246,577.0,8.0
1247,602.0,44.0
1248,427.0,13.0
1249,486.0,46.0
1250,571.0,9.0
1251,525.0,4.0
1252,571.0,16.0
1253,550.0,35.0
1254,591.0,40.0
1255,473.0,5.0
1256,470.0,7.0
1257,553.0,26.0
1258,435.0,23.0
1259,466.0,43.0
1260,369.0,38.0
1261,526.0,43.0
1262,423.0,43.0
1263,456.0,40.0
1264,570.0,23.0
1265,566.0,40.0
1266,591.0,9.0
1267,433.0,45.0
1268,607.0,7.0
1269,619.0,12.0
1270,612.0,15.0
1271,595.0,43.0
1272,562.0,44.0
1273,592.0,40.0
1274,427.0,12.0
1275,420.0,5.0
1276,436.0,11.0
1277,478.0,44.0
1278,603.0,34.0
1279,638.0,15.0
1280,611.0,37.0
1281,418.0,13.0
1282,415.0,28.0
1283,536.0,43.0
1284,444.0,30.0
1285,594.0,21.0
1286,441.0,5.0
1287,605.0,39.0
1288,391.0,14.0
1289,574.0,20.0
1290,459.0,13.0
1291,575.0,42.0
1292,456.0,20.0
1293,565.0,37.0
1294,539.0,45.0
1295,447.0,3.0
1296,624.0,5.0
1297,503.0,49.0
1298,615.0,26.0
1299,468.0,8.0
1300,603.0,41.0
1301,521.0,26.0
1302,573.0,44.0
1303,522.0,25.0
1304,603.0,11.0
1305,571.0,14.0
1306,390.0,10.0
1307,532.0,44.0
1308,488.0,30.0
1309,477.0,5.0
1310,594.0,36.0
1311,564.0,4.0
1312,516.0,42.0
1313,385.0,29.0
1314,437.0,15.0
1315,485.0,43.0
1316,449.0,14.0
1317,613.0,16.0
1318,453.0,41.0
1319,590.0,36.0
1320,422.0,43.0
1321,379.0,11.0
1322,550.0,8.0
1323,404.0,12.0
1324,602.0,43.0
1325,581.0,22.0
1326,565.0,5.0
1327,563.0,8.0
1328,518.0,9.0
1329,458.0,46.0
1330,421.0,31.0
1331,525.0,47.0
1332,456.0,35.0
1333,523.0,44.0
1334,604.0,5.0
1335,587.0,17.0
1336,534.0,26.0
1337,476.0,5.0
1338,426.0,36.0
1339,466.0,32.0
1340,422.0,39.0
1341,465.0,9.0
1342,425.0,12.0
1343,375.0,36.0
1344,525.0,44.0
1345,610.0,11.0
1346,394.0,37.0
1347,588.0,8.0
1348,524.0,40.0
1349,426.0,39.0
1350,575.0,22.0
1351,536.0,45.0
1352,527.0,43.0
1353,427.0,15.0
1354,550.0,8.0
1355,433.0,43.0
1356,615.0,32.0
1357,392.0,34.0
1358,526.0,28.0
1359,466.0,23.0
1360,610.0,16.0
