,Matches,AverageGoals
265,102.0,6.39
266,248.0,5.5
267,257.0,2.59
268,150.0,5.09
269,182.0,6.75
270,243.0,2.74
271,247.0,4.09
272,239.0,5.52
273,211.0,6.11
274,49.0,5.07
275,135.0,7.1
276,78.0,6.02
277,219.0,5.95
278,225.0,5.94
279,151.0,7.02
280,205.0,6.71
281,239.0,5.89
282,116.0,6.75
283,236.0,2.63
284,187.0,6.61
285,54.0,4.67
286,77.0,6.15
287,112.0,7.1
288,159.0,7.07
289,162.0,7.2
290,250.0,2.61
291,172.0,6.93
292,247.0,4.72
293,189.0,6.39
294,180.0,6.74
295,101.0,6.61
296,85.0,6.69
297,242.0,5.15
298,256.0,2.57
299,49.0,4.48
300,135.0,7.11
301,169.0,6.91
302,92.0,6.22
303,81.0,6.25
304,221.0,6.23
305,349.0,5.34
306,212.0,2.92
307,79.0,5.71
308,66.0,5.61
309,147.0,5.03
310,241.0,5.11
311,123.0,7.05
312,190.0,6.86
313,100.0,6.86
314,163.0,4.18
315,173.0,6.58
316,86.0,6.19
317,252.0,2.5
318,219.0,6.09
319,208.0,6.34
320,219.0,6.36
321,92.0,6.64
322,249.0,4.4
323,328.0,4.49
324,74.0,5.41
325,216.0,6.15
326,249.0,4.52
327,223.0,5.79
328,59.0,5.43
329,69.0,5.34
330,339.0,4.47
331,152.0,6.78
332,181.0,6.96
333,247.0,4.93
334,196.0,6.63
335,76.0,5.98
336,47.0,4.42
337,59.0,5.07
338,230.0,5.79
339,59.0,4.76
340,58.0,5.34
341,183.0,6.76
342,224.0,6.24
343,250.0,4.18
344,158.0,6.73
345,58.0,5.46
346,99.0,6.72
347,203.0,2.78
348,148.0,5.35
349,234.0,5.06
350,219.0,6.31
351,149.0,7.16
352,106.0,6.42
353,166.0,7.04
354,82.0,6.03
355,283.0,2.59
356,90.0,6.39
357,126.0,6.84
358,343.0,3.98
359,105.0,7.06
360,198.0,6.57
361,140.0,6.75
362,58.0,4.09
363,204.0,6.62
364,83.0,5.79
365,288.0,2.47
366,316.0,3.19
367,61.0,4.79
368,254.0,4.49
369,232.0,5.85
370,205.0,6.28
371,135.0,6.76
372,67.0,5.69
373,300.0,2.95
374,156.0,7.03
375,178.0,3.08
376,199.0,6.4
377,150.0,4.89
378,46.0,4.48
379,228.0,5.74
380,129.0,6.5
381,180.0,3.49
382,133.0,6.89
383,56.0,5.01
384,231.0,5.21
385,233.0,5.36
386,242.0,2.5
387,74.0,6.03
388,150.0,5.27
389,120.0,6.78
390,78.0,5.49
391,356.0,4.89
392,48.0,4.44
393,54.0,4.46
394,230.0,5.32
395,234.0,4.94
396,152.0,7.03
397,53.0,4.36
398,70.0,5.98
399,347.0,5.25
400,153.0,6.84
401,249.0,4.08
402,59.0,4.14
403,351.0,5.1
404,245.0,4.87
405,227.0,5.86
406,192.0,6.7
407,301.0,2.84
408,184.0,6.82
409,204.0,6.42
410,77.0,5.71
411,63.0,5.54
412,234.0,5.79
413,163.0,7.22
414,249.0,4.07
415,246.0,5.03
416,149.0,6.83
417,48.0,5.18
418,235.0,5.11
419,73.0,5.88
420,188.0,6.72
421,136.0,7.03
422,288.0,2.82
423,207.0,6.26
424,236.0,5.49
425,164.0,4.23
426,188.0,6.77
427,239.0,5.39
428,136.0,6.88
429,238.0,5.6
430,66.0,5.66
431,247.0,4.5
432,255.0,4.68
433,243.0,5.16
434,156.0,4.38
435,151.0,6.84
436,109.0,6.69
437,226.0,2.56
438,94.0,6.44
439,231.0,6.18
440,203.0,4.66
441,229.0,5.03
442,227.0,4.03
443,181.0,5.24
444,180.0,4.92
445,157.0,3.77
446,216.0,4.92
447,192.0,4.29
448,181.0,2.91
449,228.0,4.3
450,239.0,3.71
451,188.0,4.55
452,182.0,3.6
453,182.0,4.58
454,203.0,3.72
455,187.0,2.94
456,174.0,4.71
457,215.0,4.45
458,171.0,4.23
459,207.0,3.87
