,Power,MaxSpeed
429,310.74,337.32
430,348.61,160.97
431,277.38,239.42
432,356.72,172.32
433,287.27,255.77
434,282.57,350.79
435,378.61,301.83
436,326.83,336.38
437,290.44,282.82
438,242.46,176.32
439,341.74,337.11
440,374.02,306.88
441,259.66,144.74
442,266.89,159.24
443,283.08,127.35
444,319.71,162.76
445,332.63,148.95
446,290.83,152.37
447,326.84,174.65
448,348.38,165.19
449,350.71,171.89
450,260.62,174.18
451,348.46,194.06
452,279.6,227.31
453,385.39,308.94
454,288.85,246.82
455,234.06,286.01
456,373.3,301.17
457,284.26,155.11
458,324.23,343.8
459,346.83,341.73
460,267.02,350.91
461,280.19,248.21
462,299.73,355.37
463,324.68,341.14
464,225.85,299.59
465,267.13,248.33
466,369.02,200.21
467,335.16,140.88
468,321.8,259.43
469,255.31,180.57
470,339.04,313.79
471,358.2,210.71
472,286.6,276.36
473,274.68,216.65
474,372.98,194.52
475,303.1,145.49
476,343.91,311.85
477,315.64,237.31
478,266.4,159.18
479,361.24,332.7
480,255.16,302.67
481,306.26,150.92
482,339.95,312.47
483,380.17,211.22
484,281.13,369.09
485,362.63,297.64
486,316.41,152.69
487,270.26,354.42
488,335.24,332.68
489,286.09,239.82
490,336.36,344.78
491,350.22,282.29
492,386.9,228.12
493,295.52,352.04
494,276.85,320.75
495,304.56,350.91
496,309.26,340.29
497,246.1,180.91
498,251.89,169.31
499,327.07,158.42
500,318.28,250.89
501,238.97,171.92
502,357.08,300.44
503,341.07,152.47
504,274.26,330.88
505,359.6,169.7
506,313.39,244.7
507,317.44,150.26
508,257.65,339.81
509,270.52,247.44
510,343.42,331.83
511,354.99,309.12
512,361.94,291.49
513,262.57,152.13
514,243.79,222.6
515,231.47,220.15
516,315.33,282.31
517,290.63,228.66
518,332.5,160.84
519,320.96,176.18
520,295.04,348.01
521,368.39,206.67
522,283.55,240.26
523,361.76,282.48
524,337.63,166.22
525,283.8,259.6
526,366.22,308.48
527,262.91,316.92
528,251.31,310.28
529,245.88,216.3
530,318.16,213.74
531,231.3,170.95
532,249.7,203.13
533,237.55,198.11
534,277.41,231.16
535,339.53,188.88
536,289.94,253.61
537,245.43,315.29
538,263.48,308.49
539,262.34,147.79
540,359.05,209.38
541,265.48,159.66
542,375.69,270.78
543,277.66,158.84
544,220.01,223.18
545,282.46,242.08
546,282.2,353.54
547,365.57,278.89
548,234.33,294.64
549,304.45,353.6
550,251.72,268.63
551,261.44,153.67
552,289.15,352.68
553,254.06,186.39
554,315.44,368.05
555,314.47,234.41
556,299.51,169.49
557,332.08,159.93
558,348.9,330.39
559,243.66,311.42
560,330.08,158.32
561,312.16,236.56
562,283.47,250.0
563,255.75,345.36
564,309.24,141.5
565,266.4,340.2
566,377.43,288.45
567,320.41,258.73
568,256.32,161.96
569,322.24,247.87
570,278.02,242.37
571,260.05,177.25
572,225.71,275.37
573,350.27,311.19
574,342.09,319.32
575,356.83,312.68
576,291.5,352.28
577,285.45,348.53
578,258.88,182.29
579,275.57,244.22
580,356.01,173.77
581,286.3,254.09
582,226.27,273.51
583,250.29,253.83
584,288.26,152.69
585,275.54,349.93
586,331.79,349.52
587,244.09,205.38
588,257.2,159.4
589,317.34,171.95
590,319.84,261.92
591,271.76,156.33
592,222.68,183.98
593,295.3,347.09
594,334.88,353.38
595,313.47,150.64
596,287.83,260.08
597,286.0,244.25
598,322.28,330.23
599,265.26,148.95
600,372.99,191.15
601,244.53,290.48
602,355.4,201.96
603,344.86,165.64
604,286.61,246.32
605,365.8,201.51
606,273.2,331.06
607,339.62,166.97
608,269.69,352.62
609,250.88,167.4
610,369.16,212.56
611,262.05,335.57
612,359.53,311.65
613,315.24,142.08
614,292.1,333.88
615,287.41,270.95
616,234.94,305.68
617,250.4,179.64
618,247.66,312.88
619,355.87,173.73
620,265.58,318.45
621,283.7,269.29
622,252.79,319.54
623,373.14,272.99
624,356.63,321.07
625,319.87,344.86
626,259.3,158.15
627,373.91,194.68
628,283.6,234.14
629,335.54,144.79
630,279.44,352.7
631,297.07,349.83
632,227.22,270.16
633,330.15,336.86
634,362.89,195.16
635,309.42,266.98
636,355.84,183.3
637,249.4,310.25
638,334.04,349.35
639,359.95,340.07
640,373.97,220.28
641,239.36,168.04
642,226.79,191.97
643,320.88,247.16
644,294.12,150.73
645,272.91,237.5
646,273.13,246.83
647,361.04,170.07
648,239.54,301.1
649,347.55,325.06
650,238.34,176.2
651,251.52,167.05
652,344.18,169.34
653,223.12,197.29
654,217.01,272.4
655,344.7,173.77
656,357.8,310.09
657,287.46,365.39
658,243.94,324.02
659,361.8,327.98
660,316.91,338.17
661,307.94,140.74
662,221.85,290.51
663,258.26,325.31
664,233.33,280.54
665,230.65,277.57
666,300.46,337.4
667,356.5,302.79
668,318.09,336.46
669,248.66,181.4
670,358.28,302.45
671,233.38,221.63
672,245.78,209.24
673,235.47,204.35
674,374.23,299.33
675,322.56,339.12
676,254.47,326.37
677,313.42,260.34
678,290.84,151.51
679,290.74,261.3
680,266.39,171.27
681,312.43,150.08
682,321.17,239.89
683,368.0,323.15
684,316.51,148.57
685,307.73,154.94
686,267.08,334.96
687,306.73,159.4
688,226.84,293.15
689,258.9,316.75
690,272.86,354.23
691,280.79,167.06
692,316.75,270.52
693,291.76,139.94
694,216.59,202.25
695,313.34,336.92
696,232.06,302.53
697,266.69,351.78
698,313.7,265.38
699,349.03,277.92
700,354.24,211.98
701,224.71,293.15
702,245.61,328.47
703,324.32,162.01
704,235.08,291.49
705,227.15,300.37
706,352.07,174.15
707,230.95,285.7
708,270.55,154.18
709,311.11,331.82
710,381.05,212.04
711,225.32,298.21
712,237.25,285.06
713,250.64,329.26
714,352.64,204.56
715,289.26,154.76
716,394.6,272.1
717,279.43,147.01
718,372.86,211.0
719,331.95,183.07
720,296.05,149.75
721,323.56,246.64
722,272.96,277.26
723,291.29,252.96
724,264.68,177.48
725,234.41,278.22
726,288.73,262.29
727,291.89,331.5
728,302.22,156.84
729,354.78,310.76
730,358.2,205.52
731,243.98,180.2
